gene_accession,LBB02e_t2_M_QC,LBB03u_t2_M_QC,LBB05u_t2_M_QC,LBB04u_t2_M_QC,LBB01e_t2_M_QC,LBB03e_t2_M_QC,LBB02u_t2_M_QC,LBB01u_t2_M_QC,LBB05e_t2_M_QC,LBB04e_t2_M_QC
MEG_704/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/ADES,0,0,0,50,0,0,0,0,0,0
MEG_8142/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GRLA/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,23
MEG_3976/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,6867,6910,9025,6736,5997,7442,7243,8112,7917,8520
MEG_7094/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETL,14,0,34,48,12,19,34,50,7,0
MEG_3895/Metals/Mercury_resistance/Mercury_resistance_protein/MERT,0,0,0,6,6,0,0,0,0,0
MEG_7452/Drugs/Glycopeptides/VanA-type_regulator/VANRA,0,0,0,32,0,0,0,0,0,0
MEG_8242/Drugs/Multi-drug_resistance/MDR_mutation/MDR/RequiresSNPConfirmation,0,0,0,122,139,0,0,114,0,0
MEG_6123/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,33,59,98,60,69,167,78,110,162,83
MEG_1174/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSRM,0,0,0,4,10,0,0,0,0,0
MEG_7229/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,55,31,54,76,94,103,56,50,111,62
MEG_2614/Drugs/Phenicol/Phenicol_resistance_MFS_efflux_pumps/DHAP,0,0,0,26,0,0,26,0,0,0
MEG_6675/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_6958/Metals/Tellurium_resistance/Tellurium_resistance_protein/TERD,0,0,0,0,10,0,0,0,0,0
MEG_2045/Metals/Copper_resistance/Copper_resistance_protein/COPC,20,0,6,0,0,26,0,0,0,0
MEG_7318/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,140,150,273,192,296,283,231,289,321,357
MEG_7123/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,8,17,13,20,27,27,22,32,68,60
MEG_7177/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,10,0,4,6,6,0,2,6,0,0
MEG_5337/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,47,44,96,68,87,76,44,78,65,34
MEG_3989/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,0,0,89,100,98,108,0,0,0,123
MEG_4667/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,28,0,0,0,0
MEG_5753/Drugs/betalactams/Class_A_betalactamases/PENI,0,0,0,0,0,0,10,0,0,0
MEG_1722/Metals/Copper_resistance/Copper_resistance_protein/CINA,0,0,0,0,12,8,0,18,0,0
MEG_6542/Biocides/Peroxide_resistance/peroxide_resistance_protein/SODA,0,0,0,0,0,9,0,0,19,0
MEG_7250/Drugs/Mycobacterium_tuberculosis-specific_Drug/Para-aminosalicylic_acid_resistant_mutant/THYA/RequiresSNPConfirmation,59,20,36,48,80,52,67,41,77,38
MEG_7029/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,0,0,0,0,0,0,4,0,0
MEG_5847/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACH,0,0,0,6,0,0,0,0,0,0
MEG_3604/Drugs/MLS/Lincosamide_nucleotidyltransferases/LNUA,0,0,0,0,0,0,10,0,0,0
MEG_7829/Metals/Copper_resistance/Copper_resistance_regulator/YFMP,0,0,0,0,38,0,0,0,0,0
MEG_6103/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,98,0,142,126,222,125,0,0,169,262
MEG_7688/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/VGAB,0,0,0,42,0,0,0,0,0,0
MEG_6601/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,0,0,0,0,0,2,0,0,0
MEG_6609/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,0,0,0,0,0,4,0,0,0
MEG_5396/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARY,157,126,205,284,346,298,130,227,306,163
MEG_6132/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,92,0,69,109,198,161,119,187,230,158
MEG_6607/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,0,0,0,0,0,2,0,0,0
MEG_3191/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,23,0,0,0,26,0,0,0
MEG_6670/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_5380/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,48,58,0,38,0,0,48,0
MEG_7113/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,3,0,0,6,6,4,6,9,13,5
MEG_3206/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,143,70,162,221,298,234,200,196,271,193
MEG_5273/Drugs/betalactams/Class_D_betalactamases/OXA,22,8,0,18,12,0,0,0,10,0
MEG_7152/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,0,0,0,0,4,2,4,0,0,0
MEG_6894/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,6,0,0,0,0,2
MEG_6535/Biocides/Multi-biocide_resistance/Multi-biocide_ABC_efflux_pump/SMRA,0,0,0,10,0,0,0,0,0,0
MEG_5826/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACC,0,0,0,0,6,4,0,0,0,0
MEG_2125/Metals/Copper_resistance/Copper_resistance_protein/CRDB,0,0,0,0,38,0,0,0,68,0
MEG_2807/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,0,0,0,0,6,0,0,0,4
MEG_4001/Drugs/betalactams/Class_B_betalactamases/MOC,0,0,10,0,0,0,0,0,0,0
MEG_4061/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/MSBA,0,0,0,0,0,0,0,0,45,0
MEG_5343/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,206,0,349,0,0,0,504,367
MEG_3391/Drugs/betalactams/Class_B_betalactamases/IMP,0,0,4,0,0,0,0,0,0,0
MEG_4000/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/MNTR,0,0,0,0,0,4,0,0,18,0
MEG_8679/Drugs/Oxazolidinone/Oxazolidinone-resistant_23S_rRNA_mutation/RRL/RequiresSNPConfirmation,193,124,224,236,433,329,267,241,360,256
MEG_4167/Metals/Nickel_resistance/Nickel_ABC_efflux_pumps/NIKA,0,0,4,0,0,0,0,0,0,0
MEG_7821/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/YFEA,0,8,0,6,0,0,14,6,4,0
MEG_6629/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,2,28,13,17,10,23,44,14,36,11
MEG_8092/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSM,0,0,0,10,0,0,0,0,0,0
MEG_2315/Drugs/betalactams/Class_A_betalactamases/CTX,0,0,0,0,0,3,0,0,2,0
MEG_6615/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,0,0,2,0,0,34,0,0,0
MEG_1045/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-DPRIME,0,18,1,13,4,11,24,25,14,15
MEG_8288/Drugs/betalactams/Mutant_porin_proteins/OMPA,0,0,58,0,90,84,0,34,196,0
MEG_3986/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,1508,1016,1507,1070,1083,798,1431,1248,737,583
MEG_999/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT6,0,0,0,12,0,0,0,0,0,0
MEG_3992/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,7326,7683,13753,9479,21195,17508,14848,14615,35646,33461
MEG_7308/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,0,0,27,25,33,12,22,36,40,5
MEG_3220/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,0,24,0,0,35,0
MEG_3516/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/KPNO,0,0,5,0,0,0,0,0,16,0
MEG_3612/Drugs/MLS/Lincosamide_nucleotidyltransferases/LNUE,0,0,0,10,12,0,0,10,0,0
MEG_6118/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,216,139,391,210,422,319,327,274,579,1101
MEG_1084/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH6,0,27,3,12,15,17,29,22,9,13
MEG_1166/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSDM,0,4,0,0,0,4,0,0,0,5
MEG_3664/Drugs/betalactams/Class_C_betalactamases/MCA,0,0,0,0,20,0,0,0,0,0
MEG_8460/Drugs/betalactams/Penicillin_binding_protein/PBP4/RequiresSNPConfirmation,0,0,0,0,12,0,0,0,0,0
MEG_5846/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACG,0,0,0,0,4,0,0,0,0,0
MEG_6795/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_8143/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GRLB/RequiresSNPConfirmation,0,0,21,0,19,0,0,0,11,27
MEG_4377/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/OSCA,2,0,0,2,2,0,0,2,2,2
MEG_6112/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,41,42,86,58,117,90,122,76,186,183
MEG_3608/Drugs/MLS/Lincosamide_nucleotidyltransferases/LNUA,0,0,0,0,8,0,0,0,0,0
MEG_6141/Biocides/Multi-biocide_resistance/Multi-biocide_resistance_regulator/RPOS,0,0,0,0,11,41,0,0,99,0
MEG_5357/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,23,0
MEG_1193/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_regulator/BAES,0,0,0,0,0,8,0,0,27,0
MEG_6175/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SDEY,0,0,25,0,0,54,0,0,92,0
MEG_6636/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,4,19,17,11,17,15,47,14,25,14
MEG_8232/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/LPTD,0,0,22,0,0,41,0,0,80,0
MEG_3271/Drugs/Multi-drug_resistance/Multi-drug_RND_efflux_pumps/HNS,0,0,0,0,0,37,0,0,38,0
MEG_7069/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETD,0,0,0,22,9,0,0,0,12,4
MEG_7246/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETY,0,7,0,0,21,4,0,4,0,3
MEG_995/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT6,0,0,0,0,0,0,0,0,16,0
MEG_1181/Biocides/Acid_resistance/Acid_resistance_protein/ASR,4,0,0,4,0,0,0,0,0,0
MEG_3295/Drugs/Mupirocin/Mupirocin-resistant_isoleucyl-tRNA_synthetase/ILES,444,258,415,624,993,668,452,570,792,413
MEG_6582/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,2,4,7,4,10,18,2,33,2
MEG_1122/Drugs/Cationic_antimicrobial_peptides/Polymyxin_B_resistance_regulator/ARNA,0,0,0,0,0,4,0,0,0,0
MEG_3237/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,56,0,35,70,117,73,54,81,119,45
MEG_2954/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,0,0,0,0,2,0,0,0
MEG_1194/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_regulator/BAES,0,0,32,0,19,0,0,0,0,0
MEG_2088/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORB,0,0,13,0,0,0,0,0,0,0
MEG_2952/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,0,0,0,28,0,0,28,0
MEG_6134/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,16,0
MEG_313/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,10,0,0,0,6,0,0
MEG_1218/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/BCRCM,4,0,12,0,18,0,0,14,0,0
MEG_7855/Metals/Zinc_resistance/Zinc_resistance_protein/ZNUA,0,0,0,0,0,10,0,0,24,0
MEG_2766/Drugs/MLS/23S_rRNA_methyltransferases/ERM,0,18,22,0,0,0,0,20,10,16
MEG_6969/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TET32,0,0,0,0,0,0,2,0,0,0
MEG_6927/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_7689/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/VGAD,0,0,0,0,34,0,0,0,0,0
MEG_3068/Drugs/Fusidic_acid/Ribosomal_zinc-binding_protein/FUSC,0,0,0,24,28,38,0,18,0,0
MEG_185/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,20,0,0,0,0,0
MEG_404/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/ACRD,0,0,18,0,0,63,0,0,129,0
MEG_3656/Drugs/betalactams/Class_A_betalactamases/M1,0,0,0,0,0,0,28,0,0,0
MEG_5819/Drugs/Fosfomycin/Fosfomycin_target_mutation/PTSL/RequiresSNPConfirmation,84,90,156,159,142,311,90,120,417,125
MEG_2579/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRG,0,0,0,8,0,16,6,0,12,0
MEG_7216/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,38,34,66,134,118,108,43,55,133,68
MEG_7508/Drugs/Glycopeptides/VanD-type_regulator/VANSD,0,0,0,0,0,12,0,0,0,0
MEG_2783/Drugs/MLS/23S_rRNA_methyltransferases/ERMA,0,0,0,16,0,0,0,0,0,0
MEG_5381/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,0,0,65,0,0,67,0
MEG_2083/Metals/Copper_resistance/Copper_resistance_regulator/COPZ,0,0,10,0,4,0,0,0,10,0
MEG_3278/Metals/Copper_resistance/Copper_resistance_protein/HPCOPP,0,0,4,0,12,0,0,0,0,0
MEG_5815/Metals/Arsenic_resistance/Arsenic_resistance_protein/PSTC,0,22,18,20,32,31,30,0,26,0
MEG_7606/Drugs/Glycopeptides/VanF-type_accessory_protein/VANYF,0,0,0,26,0,0,0,0,0,0
MEG_4289/Drugs/betalactams/Mutant_porin_proteins/OMPFB/RequiresSNPConfirmation,0,0,0,0,10,0,0,0,0,0
MEG_6909/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,4,0,8,0,0,2,0,18
MEG_7233/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,5,5,0,0,0,0,3,6,9,8
MEG_8071/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRE,0,0,0,34,30,26,0,0,0,6
MEG_7225/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,25,16,25,41,53,24,19,30,34,14
MEG_8008/Drugs/betalactams/Class_A_betalactamases/BLAZ,0,0,0,12,0,0,0,0,0,0
MEG_8230/Drugs/Lipopeptides/Colistin-resistant_mutant/LPSA,0,0,0,14,0,0,0,0,0,0
MEG_6717/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_3802/Drugs/betalactams/Penicillin_binding_protein_regulator/MECI,0,0,0,0,4,0,0,0,4,0
MEG_7306/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,37,36,38,32,92,49,76,99,70,37
MEG_6102/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,0,0,51,89,80,0,86,74,41
MEG_5403/Drugs/betalactams/Penicillin_binding_protein/PBP2,0,0,0,0,0,4,0,0,0,0
MEG_4208/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/NORA,0,0,0,0,0,44,0,0,0,0
MEG_7110/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,45,37,29,22,44,77,41,49,103,107
MEG_6719/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_2771/Drugs/MLS/23S_rRNA_methyltransferases/ERM,34,0,58,44,48,48,0,52,32,0
MEG_3894/Metals/Mercury_resistance/Mercury_resistance_protein/MERT,0,0,6,0,0,0,8,0,0,0
MEG_6122/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,0,41,35,22,75,0,37,91,43
MEG_3991/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,70,64,92,85,183,65,50,60,212,115
MEG_4223/Drugs/Oxazolidinone/Oxazolidinone-resistant_23S_rRNA_mutation/O23S/RequiresSNPConfirmation,5231,3945,8655,5687,12152,9035,7556,7190,15635,19325
MEG_7208/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,8,0,14,8,10,6,0,10,4,6
MEG_3591/Drugs/Lipopeptides/Daptomycin-resistant_mutant/LIAFSR/RequiresSNPConfirmation,0,0,0,8,0,18,0,0,0,0
MEG_2791/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,0,0,0,0,7,0,0,0,9
MEG_5801/Drugs/Cationic_antimicrobial_peptides/Lipid_A_modification/PMRF,0,0,3,0,0,0,0,0,0,0
MEG_5783/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_ABC_efflux_regulator/PHOB/RequiresSNPConfirmation,0,0,0,0,0,4,0,0,9,0
MEG_3249/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/GYRBA/RequiresSNPConfirmation,0,0,0,0,90,42,48,50,74,0
MEG_3022/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSG,12,0,0,22,0,0,0,0,0,0
MEG_6119/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,104,0,0,0,118,0,0,0,144,0
MEG_7018/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,0,0,0,0,0,0,10,0,0
MEG_3248/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/GYRBA/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,24,0
MEG_3597/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/LMRD,50,0,0,64,0,0,0,0,0,0
MEG_6549/Biocides/Multi-biocide_resistance/Multi-biocide_resistance_regulator/SOXRB,0,0,0,0,0,4,0,0,23,0
MEG_5378/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,66,0,0,0,0,0,0
MEG_2875/Biocides/Phenolic_compound_resistance/Phenolic_resistance_protein/FABI,0,0,3,2,0,3,0,0,12,0
MEG_3994/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,1719,1165,1774,1409,1500,1305,1612,1542,1253,786
MEG_4741/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,22,36,20,0,0,0,0
MEG_7811/Metals/Iron_resistance/Iron_resistance_protein/YBTP,0,0,10,0,0,0,0,0,0,0
MEG_2695/Drugs/betalactams/Class_B_betalactamases/EBR,0,0,0,0,18,0,0,0,0,0
MEG_7218/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,2,7,2,15,12,10,6,24,24,14
MEG_4285/Drugs/betalactams/Mutant_porin_proteins/OMPD,0,44,42,52,0,0,0,0,0,0
MEG_6780/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_6014/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRD,0,0,0,0,12,0,0,0,0,0
MEG_277/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,18,16,0,16,20,8,8,10,0,0
MEG_8443/Drugs/Pleuromutilin/Pleuromutilin-resistant_23S_rRNA_mutation/P23S/RequiresSNPConfirmation,317,188,463,529,662,404,554,192,385,272
MEG_8686/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/RSMA,4,4,2,0,18,2,6,4,4,0
MEG_7162/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,0,0,0,2,0,0,0,0,0,0
MEG_1119/Drugs/Multi-drug_resistance/MDR_regulator/ARLS,0,0,0,0,40,0,0,0,0,0
MEG_7016/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,0,0,0,0,0,0,22,0,11
MEG_2582/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRK,0,0,0,14,0,0,0,0,0,0
MEG_7171/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,0,0,0,0,6,0,4,0,0,0
MEG_7051/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,53,108,122,116,131,188,140,151,202,124
MEG_6130/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,0,20,0,0,76,46,27,126,38
MEG_6506/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/SILP,0,0,0,0,0,0,0,0,0,12
MEG_7185/Drugs/Tetracyclines/Tetracycline_transcriptional_repressor/TETR/RequiresSNPConfirmation,4,21,25,15,15,74,17,81,49,92
MEG_7321/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,54,58,127,74,200,130,177,147,327,354
MEG_3194/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,24,20,20,0,22,31,24,26,28
MEG_1730/Drugs/Lipopeptides/Daptomycin-resistant_mutant/CLS/RequiresSNPConfirmation,0,0,0,32,0,0,0,0,0,0
MEG_7624/Drugs/MLS/Streptogramin_A_O-acetyltransferase/VATD,0,0,0,6,0,0,0,0,0,0
MEG_5333/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,15,0,0,18,0
MEG_5371/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,76,34,69,86,89,124,64,0,40,0
MEG_7823/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/YFEA,12,0,16,0,18,0,10,0,0,0
MEG_6624/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,12,19,20,5,19,22,37,16,38,18
MEG_1059/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-PRIME,0,0,0,10,0,0,0,0,0,0
MEG_7263/Biocides/Multi-biocide_resistance/Multi-biocide_RND_efflux_pump/TOLC,0,0,0,0,0,3,0,0,0,0
MEG_7158/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,4,0,0,0,0,0,0,0,0,0
MEG_7480/Drugs/Glycopeptides/VanE-type_regulator/VANRE,24,24,0,30,32,0,0,22,38,0
MEG_6120/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,0,0,129,203,0,0,0,229,170
MEG_6827/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_1211/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/BCR,0,0,0,0,0,4,0,0,9,0
MEG_3979/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,472,344,441,515,802,630,600,618,985,810
MEG_6520/Biocides/Multi-biocide_resistance/Multi-biocide_ABC_efflux_pump/SMDB,0,0,0,0,0,15,0,0,0,0
MEG_730/Drugs/betalactams/Penicillin_binding_protein/AMPH,0,0,1,0,0,0,0,0,0,0
MEG_3219/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,42,43,46,0,0,91,91,64,37,98
MEG_6145/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/RRSA/RequiresSNPConfirmation,736,540,1029,839,1560,1107,840,952,1624,1447
MEG_3980/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,361,263,500,401,694,546,480,451,647,412
MEG_3/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,526,461,833,714,1312,1034,776,774,1481,1430
MEG_405/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/ACRD,0,0,0,0,0,0,0,0,19,0
MEG_2443/Metals/Copper_resistance/Copper_resistance_regulator/CUER,0,0,0,0,0,2,0,0,0,0
MEG_6108/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,138,196,153,161,275,150,171,358,41
MEG_6907/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_7056/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,0,18,19,8,25,54,15,1,69,15
MEG_7481/Drugs/Glycopeptides/VanG-type_regulator/VANRG,32,0,52,32,62,0,72,50,32,54
MEG_7470/Drugs/Glycopeptides/VanC-type_regulator/VANRC,0,18,24,0,37,0,0,26,0,11
