gene_accession,CRA08u_t2_M_BC,CRA10e_t2_M_BC,CRA06u_t2_M_BC,CRA07u_t2_M_BC,CRA06e_t2_M_BC,CRA10u_t2_M_BC,CRA08e_t2_M_BC,CRA09u_t2_M_BC,CRA07e_t2_M_BC,CRA09e_t2_M_BC
MEG_6098/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,50,98,124,96,91,218,97,112,167,185
MEG_6757/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_5334/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,62,0,94,0,40,65,36,47,170,31
MEG_3448/Drugs/Aminoglycosides/Aminoglycoside_efflux_pumps/KDPE,14,0,13,0,0,26,0,5,35,0
MEG_4177/Metals/Nickel_resistance/Nickel_ABC_efflux_regulator/NIKR,0,0,0,0,0,13,0,0,0,0
MEG_729/Drugs/betalactams/Penicillin_binding_protein/AMPH,17,0,67,0,0,43,0,0,32,25
MEG_1099/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH9,74,118,42,18,0,0,0,64,0,24
MEG_4287/Drugs/Multi_drug_resistance/MDR_mutant_porin_proteins/OMPF/RequiresSNPConfirmation,46,0,35,0,0,41,0,38,92,5
MEG_1607/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,0,9,0,0,0,0,0,0,0
MEG_6730/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,4,0,0,0,0,0
MEG_6167/Drugs/Nucleosides/Streptothricin_acetyltransferase/SAT,0,2,0,0,0,30,0,0,0,11
MEG_8253/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,672,706,850,970,695,1326,625,708,773,463
MEG_7307/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,350,419,552,515,476,845,399,515,493,368
MEG_7225/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,5,24,45,14,4,24,0,10,26,13
MEG_6161/Drugs/Nucleosides/Streptothricin_acetyltransferase/SAT,0,0,0,0,0,12,0,0,0,5
MEG_6789/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_6833/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_949/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,0,0,23,0,0,0,12
MEG_4344/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,0,0,0,0,0,6
MEG_3016/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSC,0,0,0,0,6,0,0,32,0,0
MEG_8258/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MSRF,0,70,0,70,0,134,0,36,0,42
MEG_7609/Drugs/Glycopeptides/VanF_type_accessory_protein/VANYF,0,0,0,11,0,84,0,14,46,47
MEG_6675/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_6795/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,2,0,0,6,0
MEG_6175/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SDEY,106,0,136,0,0,50,0,125,132,29
MEG_3835/Drugs/Multi_drug_resistance/Multi_drug_MATE_efflux_pump/MEPB,0,0,0,90,0,0,0,52,0,0
MEG_3932/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/MEXT/RequiresSNPConfirmation,0,0,0,0,0,0,0,6,0,0
MEG_4345/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,0,10,0,0,0,0
MEG_8687/Drugs/Mycobacterium_tuberculosis_specific_Drug/MDR_mutant_promoter/RV0678/RequiresSNPConfirmation,0,0,6,0,0,8,0,0,0,0
MEG_7306/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,72,125,73,99,91,158,79,44,70,92
MEG_7235/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,4,6,0,0,6,0,4,6,2
MEG_1574/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,7,7,0,0,0,12,7,0,0,0
MEG_789/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,0,0,3,0,0,0,0
MEG_6549/Biocides/Multi_biocide_resistance/Multi_biocide_resistance_regulator/SOXRB,3,0,11,0,0,5,0,19,10,2
MEG_3271/Drugs/Multi_drug_resistance/Multi_drug_RND_efflux_pumps/HNS,29,0,59,0,0,18,4,86,34,22
MEG_2682/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/DSBA,4,0,0,0,0,4,0,0,0,0
MEG_7474/Drugs/Glycopeptides/VanC_type_regulator/VANRC,0,20,26,0,0,0,0,0,0,0
MEG_1173/Metals/Arsenic_resistance/Arsenic_resistance_regulator/ARSR,0,0,0,0,0,29,0,0,0,2
MEG_1652/Biocides/Biguanide_resistance/Biguanide_cation_efflux/CEPAB,41,2,85,0,0,0,0,115,112,12
MEG_1162/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/ARSCM,0,0,1,0,14,6,0,0,0,10
MEG_6104/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,0,0,99,61,0,0,0,0,0
MEG_7320/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,22,21,68,67,58,59,24,37,26,14
MEG_952/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,1,0,0,0,0,0,0,0
MEG_7317/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,274,219,292,359,253,529,264,452,283,133
MEG_5772/Biocides/Peroxide_resistance/peroxide_resistance_regulator/PERR,0,0,0,44,0,0,0,68,20,0
MEG_3244/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/GYRBA/RequiresSNPConfirmation,152,81,258,141,71,294,71,230,181,87
MEG_6147/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/RRSH/RequiresSNPConfirmation,2499,2882,3571,4234,2626,5831,2469,3477,3573,3337
MEG_964/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,2,0,0,0,1,0,0,0,0
MEG_2578/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRF,16,0,0,0,0,0,0,0,0,0
MEG_1145/Metals/Arsenic_resistance/Arsenic_resistance_protein/ARSB,13,0,21,0,0,34,0,0,17,8
MEG_6664/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,10,0,0,0,0,0
MEG_6973/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TET33,0,0,0,0,0,4,0,0,0,0
MEG_7901/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,0,0,0,18,0
MEG_7214/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,30,36,12,25,32,28,32,34,24
MEG_5830/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACEDELTA1,0,0,0,4,0,0,0,0,0,0
MEG_6829/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_3175/Drugs/Lipopeptides/Daptomycin_resistant_mutant/GSHF/RequiresSNPConfirmation,0,238,0,354,34,392,0,248,402,518
MEG_406/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/ACRD,22,0,53,0,0,40,0,67,103,15
MEG_893/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,0,0,6,0,0,0,1
MEG_8445/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,18,0,24,0,0,31,0,26,0,0
MEG_6942/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_6763/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_4281/Drugs/betalactams/Mutant_porin_proteins/OMP36/RequiresSNPConfirmation,11,0,12,0,0,0,0,0,5,6
MEG_6905/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,9,2,0,0,4,0
MEG_7173/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,0,12,14,9,10,12,4,4,6,4
MEG_5856/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_regulator/QACR,0,8,6,0,0,0,8,0,0,0
MEG_5273/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,12,0,0
MEG_3757/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/MDTJ,5,2,22,0,0,7,0,0,0,6
MEG_4200/Metals/Nickel_resistance/Nickel_resistance_protein/NIXA,0,0,0,0,0,24,0,0,0,0
MEG_6889/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_7125/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,6,27,29,18,92,39,10,27,42,29
MEG_2024/Metals/Copper_resistance/Copper_resistance_protein/COPA,0,0,0,0,0,2,0,0,3,0
MEG_7069/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETD,0,0,34,14,71,59,0,28,12,6
MEG_8290/Drugs/betalactams/Mutant_porin_proteins/OMPK36/RequiresSNPConfirmation,36,2,62,0,2,20,0,20,52,17
MEG_947/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,0,0,2,0,0,0,0
MEG_4332/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXA,0,0,3,0,0,0,0,0,0,0
MEG_2684/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/DSBA,0,0,1,0,0,4,0,0,0,0
MEG_4275/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/OLEB,0,0,44,0,0,0,0,0,0,0
MEG_7246/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETY,9,4,0,5,6,14,0,0,0,11
MEG_800/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,2,0,0,0,0,0,0,0,3
MEG_3065/Drugs/Fusidic_acid/Fusidic_acid_resistant_mutation/FUSA/RequiresSNPConfirmation,296,622,451,770,410,1097,264,610,835,959
MEG_3903/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXB,23,0,31,0,0,0,0,0,0,8
MEG_3977/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,12909,12701,17008,15167,13112,24146,12908,13792,14507,15744
MEG_7412/Drugs/Glycopeptides/VanA_type_resistance_protein/VANHA,0,0,0,4,0,0,0,0,0,0
MEG_6660/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,2,0
MEG_6139/Drugs/Lipopeptides/Daptomycin_resistant_beta_subunit_of_RNA_polymerase_RpoC/RPOCL/RequiresSNPConfirmation,1287,2054,1786,2395,1556,3783,1414,1972,2341,2516
MEG_6929/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,3,0,0,0,4,0
MEG_6046/Drugs/Multi_drug_resistance/Multi_drug_RND_efflux_regulator/RAMR/RequiresSNPConfirmation,16,0,0,0,0,0,0,0,0,0
MEG_2802/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,10,2,0,6,0,0,5,6,12
MEG_767/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,0,0,1,0,0,0,0
MEG_3183/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,13,0,0,0,0,33,30,28,0
MEG_5390/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,26,0,20,0,41,0,40,29,28
MEG_1566/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,0,0,0,0,2,0,0,0,0,0
MEG_3586/Drugs/Lipopeptides/Daptomycin_resistant_mutant/LIAFSR/RequiresSNPConfirmation,0,0,0,0,0,0,12,0,0,0
MEG_803/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,0,0,2,0,0,0,0
MEG_7236/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,2,0,8,4,0,0,2,4,2
MEG_2721/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRA,16,0,0,0,0,19,0,0,27,4
MEG_3208/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,192,215,293,165,223,377,156,147,198,242
MEG_5787/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/PITA,71,0,68,0,0,109,0,46,135,49
MEG_2992/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,0,0,0,12,0,0,0,0,0,0
MEG_977/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT4_PRIME,0,0,0,0,0,22,0,0,18,0
MEG_2793/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,2,40,18,3,72,10,2,18,92,64
MEG_2691/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/DSBC,6,0,28,0,0,15,0,0,12,0
MEG_503/Metals/Copper_resistance/Copper_resistance_protein/ACTPC,0,0,0,0,0,122,0,0,0,0
MEG_2445/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/CUID,20,0,30,0,0,0,0,0,0,0
MEG_5381/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,5,0,35,0,0,0,6,60,41,10
MEG_8070/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRB/RequiresSNPConfirmation,0,0,0,0,0,10,0,8,0,0
MEG_1002/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT6,0,0,0,15,0,0,0,0,3,0
MEG_3911/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXF,0,41,23,0,0,0,0,0,0,0
MEG_2870/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_regulator/EVGS,0,0,0,0,0,90,0,0,0,0
MEG_843/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,0,0,2,0,0,0,0
MEG_6110/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,61,101,133,107,96,188,86,103,167,187
MEG_5849/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACJ,0,0,0,4,0,10,0,0,0,0
MEG_410/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRF,25,0,0,0,0,96,0,40,0,0
MEG_1236/Drugs/betalactams/Class_A_betalactamases/BKC,0,0,0,0,0,30,0,0,0,0
MEG_3919/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXN,86,0,46,0,0,0,0,0,0,0
MEG_2846/Drugs/MLS/23S_rRNA_methyltransferases/ERMT,11,133,16,54,14,76,58,81,160,86
MEG_6622/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULII,9,11,15,23,22,86,29,25,7,8
MEG_6839/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,4,0,0,0,0,0,0,0
MEG_7117/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,10,19,21,6,19,6,10,9,13,13
MEG_6796/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,2
MEG_2138/Drugs/betalactams/Class_A_betalactamases/CSP,0,0,0,20,0,0,0,0,0,0
MEG_7857/Metals/Zinc_resistance/Zinc_resistance_protein/ZNUB,0,0,0,0,0,25,0,0,0,0
MEG_5341/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,47,133,84,98,0,155,0,103,192,128
MEG_2112/Drugs/betalactams/Class_B_betalactamases/CPS,0,16,18,0,0,0,0,0,0,0
MEG_3206/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,101,249,383,269,326,438,162,181,181,305
MEG_6135/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,58,35,57,0,0,138,53,124,107,22
MEG_8680/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/RRS/RequiresSNPConfirmation,388,1556,1348,2024,1125,3222,769,1714,2643,2572
MEG_6734/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,0,0,0,0,0,0
MEG_793/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,0,0,4,0,0,0,0
MEG_2847/Drugs/MLS/23S_rRNA_methyltransferases/ERMT,0,34,8,29,16,31,15,13,43,28
MEG_3868/Metals/Mercury_resistance/Mercury_resistance_protein/MERE,0,0,0,0,0,2,0,0,0,0
MEG_2017/Metals/Copper_resistance/Copper_resistance_regulator/COMR,8,0,9,0,0,13,0,0,0,4
MEG_3870/Metals/Mercury_resistance/Mercury_resistance_protein/MERF,0,0,12,0,0,0,0,0,0,0
MEG_3185/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,0,68,0,0,0,0
MEG_2119/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,13,0,7,0,0,15,0,0,11,8
MEG_6654/Metals/Copper_resistance/Copper_resistance_protein/TCRZ,0,6,0,0,0,0,0,0,0,0
MEG_7138/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,0,14,21,8,10,27,5,12,7,14
MEG_6934/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_7842/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_ABC_efflux_pumps/YOGI,29,0,60,0,9,38,7,0,59,16
MEG_990/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT6,0,32,0,0,0,38,28,38,0,0
MEG_3661/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/MARA,0,0,0,0,0,3,0,0,0,0
MEG_7862/Metals/Zinc_resistance/Zinc_resistance_regulator/ZRAR,0,4,0,0,0,43,0,4,0,0
MEG_6633/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULII,5,6,4,16,16,62,21,26,3,20
MEG_7867/Metals/Zinc_resistance/Zinc_resistance_regulator/ZUR,1,0,8,0,0,15,0,0,0,1
MEG_1180/Drugs/Multi_drug_resistance/Multi_drug_RND_efflux_regulator/ASMA,0,0,0,0,0,61,0,11,0,0
MEG_4211/Drugs/Multi_drug_resistance/Multi_drug_MFS_efflux_pumps/NORBD,0,0,0,0,0,131,0,0,0,0
MEG_2700/Drugs/Cationic_antimicrobial_peptides/Edeine_acetyltransferase/EDEQ,0,0,0,10,0,0,0,0,0,0
MEG_3759/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MATE_efflux_pumps/MDTK,40,0,27,0,0,51,0,0,38,7
MEG_7849/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/ZINT,0,0,0,0,0,32,0,42,0,0
MEG_1091/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH6,8,13,2,14,17,14,0,12,16,32
MEG_2801/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,1,54,7,0,49,12,22,19,142,234
MEG_6543/Biocides/Peroxide_resistance/peroxide_resistance_protein/SODA,2,0,10,0,0,1,0,8,5,2
MEG_7141/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,6,14,29,17,19,9,8,8,26,14
MEG_5416/Metals/Copper_resistance/Copper_resistance_protein/PCOA,0,0,0,0,0,0,0,0,0,4
MEG_3255/Biocides/Acid_resistance/Acid_resistance_protein/HDEB,0,0,0,0,0,2,0,0,0,0
MEG_8086/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,0,0,0,28,0,0,0,0
MEG_4169/Metals/Nickel_resistance/Nickel_ABC_efflux_pumps/NIKB,0,0,0,0,0,15,0,0,0,0
MEG_5424/Metals/Copper_resistance/Copper_resistance_regulator/PCOR,0,0,0,0,0,12,0,0,0,0
MEG_6706/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,2,2,0
MEG_6133/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,51,97,127,108,107,181,67,110,146,177
MEG_1085/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH6,2,17,0,15,23,19,2,14,19,20
MEG_3131/Drugs/betalactams/Class_A_betalactamases/GES,0,0,5,1,0,0,0,0,0,0
MEG_7038/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,114,155,149,126,144,224,85,99,113,146
MEG_6904/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_5374/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,85,0,136,38,23,34,26,200,227,70
MEG_8261/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MSRH,0,0,54,0,0,68,0,56,0,0
MEG_5828/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACE,0,0,0,0,0,0,8,0,0,0
MEG_2577/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRE,0,0,0,6,0,4,0,0,0,0
MEG_7309/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,294,109,421,278,162,424,171,249,433,311
MEG_7831/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/YGIW,8,0,12,0,0,20,0,0,16,0
MEG_3198/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,25,43,0,0,0,0
MEG_6580/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULI,0,0,2,0,0,0,0,0,0,0
MEG_2913/Drugs/Phenicol/Phenicol_resistance_MFS_efflux_pumps/FLOR,0,0,0,0,0,2,0,0,0,0
MEG_5423/Metals/Multi_metal_resistance/Multi_metal_resistance_regulator/PCOE,0,0,0,0,0,7,0,0,0,0
MEG_2677/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/DSBA,0,0,0,0,0,4,0,0,2,0
MEG_5801/Drugs/Cationic_antimicrobial_peptides/Lipid_A_modification/PMRF,17,0,46,0,0,30,8,0,41,12
MEG_4355/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,0,0,0,0,0,7
MEG_4004/Metals/Multi_metal_resistance/Multi_metal_ABC_efflux_pumps/MODB,0,0,0,0,0,11,0,0,0,0
MEG_3219/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,83,0,72,36,108,0,86,74,0
MEG_799/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,2,0,0,0,5,0,0,0,1
MEG_7233/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,0,0,0,5,0,4,0,0,0
MEG_8454/Drugs/betalactams/Penicillin_binding_protein/PBP1/RequiresSNPConfirmation,0,0,0,0,0,150,62,0,0,0
MEG_6960/Metals/Tellurium_resistance/Tellurium_resistance_protein/TERW,11,0,20,0,0,0,0,0,0,0
MEG_7308/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,30,15,40,34,29,43,19,0,0,18
MEG_2879/Biocides/Phenolic_compound_resistance/Phenolic_resistance_protein/FABV,10,0,0,0,2,8,0,0,0,0
MEG_7263/Biocides/Multi_biocide_resistance/Multi_biocide_RND_efflux_pump/TOLC,26,0,37,0,0,34,0,15,6,0
MEG_7137/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,4,12,33,11,29,23,20,6,32,33
MEG_1155/Metals/Arsenic_resistance/Arsenic_resistance_protein/ARSC,0,0,0,0,0,6,0,0,0,0
MEG_7342/Drugs/Glycopeptides/VanA_type_resistance_protein/VANA,0,0,0,15,0,0,0,0,0,0
MEG_973/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,0,0,2,0,0,0,0
MEG_7981/Drugs/betalactams/Class_A_betalactamases/BKC,0,0,0,0,0,18,0,0,0,0
MEG_7272/Biocides/Phenolic_compound_resistance/Phenolic_RND_efflux_pump/TRIAP,34,0,0,0,0,0,0,0,0,0
MEG_3761/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDTM,0,0,0,0,0,10,0,0,0,0
MEG_399/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRA,0,0,0,0,0,38,0,14,19,0
MEG_1209/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/BCR,5,0,15,0,0,11,0,8,42,5
MEG_6129/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,114,0,73,140,84,159,0,168,0,0
MEG_6136/Drugs/Multi_drug_resistance/MDR_mutation/MRPOB/RequiresSNPConfirmation,59,96,95,106,60,144,76,85,156,165
MEG_3762/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDTM,0,0,0,0,0,20,0,0,0,0
MEG_8087/Biocides/Aldehyde_resistance/Aldehyde_degradation/FORMA,16,0,29,12,52,39,0,35,15,11
MEG_2453/Metals/Multi_metal_resistance/Multi_metal_RND_efflux_regulator/CUSS,0,0,0,0,0,31,0,0,0,0
MEG_6892/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,2,0,2,0,2,0,2,0
MEG_6873/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_8398/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,2,0,0,0,0
MEG_7595/Drugs/Glycopeptides/VanA_type_accessory_protein/VANYA,0,0,17,17,0,0,0,0,0,0
MEG_1014/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH2_DPRIME,0,0,0,0,0,30,0,0,0,0
MEG_7123/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,2,17,10,12,20,15,6,0,24,13
