gene_accession,CAS09e_t2_M_AB,CAS08e_t2_M_AB,CAS07e_t2_M_AB,CAS09u_t2_M_AB,CAS08u_t2_M_AB,CAS07u_t2_M_AB,CAS10u_t2_M_AB,CAS06u_t2_M_AB,CAS10e_t2_M_AB,CAS06e_t2_M_AB
MEG_7409/Drugs/Glycopeptides/VanA_type_resistance_protein/VANHA,0,0,0,0,0,0,0,0,5,0
MEG_1579/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,0,0,1,0,11,3,5,3,4,4
MEG_6016/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRE,0,10,2,24,0,0,0,2,0,0
MEG_6638/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULII,12,7,14,2,12,16,28,20,0,20
MEG_1095/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH6,7,6,18,3,1,0,11,2,11,8
MEG_2681/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/DSBA,0,3,0,4,0,0,0,3,0,0
MEG_1142/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/ARSA,0,0,0,0,0,0,0,0,27,0
MEG_3244/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/GYRBA/RequiresSNPConfirmation,0,115,126,219,90,107,103,84,173,103
MEG_7059/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,5,12,18,10,6,34,29,10,16,7
MEG_8693/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SEPA,0,0,0,0,8,0,0,22,0,0
MEG_5409/Drugs/betalactams/Penicillin_binding_protein/PBP4B,0,0,0,0,0,0,8,0,16,0
MEG_8070/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRB/RequiresSNPConfirmation,0,0,0,0,0,0,12,10,0,0
MEG_5381/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,11,11,33,0,0,14,18,12,3
MEG_7236/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,2,0,13,0,3,12,0,7,0,4
MEG_2952/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,20,29,38,0,39,12,20,35,16
MEG_7143/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,8,12,23,22,26,31,19,33,12,15
MEG_8013/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,0,0,0,0,0,0,0,6,0,0
MEG_3760/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MATE_efflux_pumps/MDTK,0,12,0,23,0,11,0,13,17,12
MEG_3610/Drugs/MLS/Lincosamide_nucleotidyltransferases/LNUC,0,0,0,0,0,6,0,0,0,0
MEG_444/Drugs/betalactams/Class_C_betalactamases/ACT,0,2,0,0,0,0,0,0,0,0
MEG_6111/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,34,52,54,103,61,103,63,52,55,65
MEG_7812/Metals/Iron_resistance/Iron_resistance_protein/YBTQ,0,0,0,15,0,0,0,0,24,0
MEG_6133/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,67,63,73,83,86,131,83,89,64,61
MEG_6856/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_7296/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/TTGR,0,8,0,0,0,0,0,0,0,0
MEG_1488/Metals/Multi_metal_resistance/Multi_metal_resistance_regulator/CADX,34,0,0,0,0,0,0,0,0,0
MEG_3199/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,86,73,0,110,0,111,0,74,66,0
MEG_1208/Drugs/betalactams/Class_A_betalactamases/BCL,0,0,0,0,0,0,0,0,14,0
MEG_6925/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,0,4,0,2,4,0
MEG_8150/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRB/RequiresSNPConfirmation,0,60,35,106,0,20,23,53,44,22
MEG_6757/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_3647/Drugs/Multi_drug_resistance/Multi_drug_ABC_efflux_pumps/LSAC,0,28,0,0,0,0,0,42,0,0
MEG_6914/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,2,0,0,2,0,0,0,0
MEG_2803/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,2,7,4,6,12,20,2,2,0,2
MEG_5361/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,12,9,23,0,13,7,0,5,8
MEG_6181/Drugs/betalactams/Class_B_betalactamases/SFB,0,0,0,14,0,0,0,20,0,0
MEG_449/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,0,0,2,0,0
MEG_8143/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GRLB/RequiresSNPConfirmation,0,0,0,0,11,0,0,0,0,0
MEG_405/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/ACRD,0,33,19,43,0,0,0,28,23,31
MEG_7859/Metals/Zinc_resistance/Zinc_resistance_protein/ZNUC,0,8,4,41,0,10,2,13,24,5
MEG_3290/Biocides/Acetate_resistance/Acetate_resistance_protein/ICLR,0,2,2,10,0,0,0,6,8,4
MEG_2679/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/DSBA,0,0,0,0,0,0,2,0,0,0
MEG_7263/Biocides/Multi_biocide_resistance/Multi_biocide_RND_efflux_pump/TOLC,0,17,14,43,0,11,4,22,29,12
MEG_2700/Drugs/Cationic_antimicrobial_peptides/Edeine_acetyltransferase/EDEQ,0,0,0,0,0,0,0,24,0,0
MEG_5392/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,66,39,0,76,76,69,68,62,26,48
MEG_4364/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,8,0,0,0,0,0,0,0,0
MEG_2456/Metals/Copper_resistance/Copper_resistance_protein/CUTC,0,0,0,0,0,0,2,0,10,0
MEG_6709/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_3948/Metals/Multi_metal_resistance/Multi_metal_resistance_regulator/MGTA,0,44,30,150,0,48,8,32,72,48
MEG_1969/Drugs/betalactams/Class_C_betalactamases/CMY,0,0,0,0,0,0,0,0,2,0
MEG_3975/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,538,301,505,595,665,728,463,499,424,518
MEG_6945/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,0
MEG_7402/Drugs/Glycopeptides/VanA_type_resistance_protein/VANHA,0,0,0,0,0,0,0,0,10,0
MEG_1575/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,0,0,0,8,25,3,14,29,2,4
MEG_3759/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MATE_efflux_pumps/MDTK,0,26,0,27,0,25,17,24,35,12
MEG_6130/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,28,22,63,33,32,33,55,37,50
MEG_7606/Drugs/Glycopeptides/VanF_type_accessory_protein/VANYF,0,0,0,0,0,0,0,18,0,0
MEG_6677/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,0
MEG_2688/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/DSBA,0,6,0,3,0,4,0,7,14,4
MEG_6550/Biocides/Multi_biocide_resistance/Multi_biocide_resistance_regulator/SOXRB,0,2,0,2,0,0,2,8,11,4
MEG_1194/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_regulator/BAES,0,60,15,58,0,38,0,33,15,25
MEG_6957/Metals/Tellurium_resistance/Tellurium_resistance_protein/TERC,0,0,0,27,0,0,0,11,16,0
MEG_2089/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/CORC,10,12,19,30,14,14,25,15,31,7
MEG_7127/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,16,7,4,11,10,19,12,18,6,16
MEG_7833/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/YHCN,0,2,0,9,0,0,2,10,8,0
MEG_6699/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,2,0,0,0,0,0,0,0
MEG_5343/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,314,0,0,0,0,233,0
MEG_7177/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,0,0,4,2,6,0,0,0,0,0
MEG_6744/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_6636/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULII,12,12,23,5,8,17,27,27,0,26
MEG_3234/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,47,31,28,0,10,0,20,26,40
MEG_409/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRF,0,14,0,34,0,0,18,0,24,20
MEG_1148/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/ARSBM,0,20,9,42,0,9,6,26,10,10
MEG_1748/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_regulator/CMER,0,0,0,0,10,8,0,0,0,0
MEG_6141/Biocides/Multi_biocide_resistance/Multi_biocide_resistance_regulator/RPOS,0,46,26,129,2,12,18,51,60,58
MEG_7123/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,10,0,18,13,13,23,14,18,9,13
MEG_4286/Drugs/Multi_drug_resistance/MDR_mutant_porin_proteins/OMPF/RequiresSNPConfirmation,0,7,8,15,0,8,0,10,9,8
MEG_6044/Drugs/Multi_drug_resistance/Multi_drug_RND_efflux_regulator/RAMA,0,11,5,40,0,3,0,3,3,11
MEG_5930/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRB,0,0,0,0,0,1,0,0,0,0
MEG_2898/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_ABC_efflux_pumps/FETA,0,8,20,34,32,32,14,39,36,28
MEG_7170/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,6,4,24,6,16,26,8,8,13,12
MEG_1162/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/ARSCM,0,0,0,19,0,0,0,1,0,2
MEG_7897/Drugs/betalactams/Class_C_betalactamases/ACT,0,3,0,0,0,0,0,0,0,0
MEG_1978/Drugs/betalactams/Class_C_betalactamases/CMY,0,0,0,0,0,0,0,5,5,0
MEG_2080/Metals/Copper_resistance/Copper_resistance_regulator/COPY,0,0,0,0,0,0,0,0,6,0
MEG_3985/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,243,125,222,285,295,271,207,230,167,148
MEG_2020/Metals/Copper_resistance/Copper_resistance_protein/COPA,0,56,24,135,0,27,19,62,79,46
MEG_6083/Drugs/Multi_drug_resistance/Multi_drug_MFS_efflux_pumps/ROSA,0,0,0,0,0,5,0,0,0,0
MEG_1167/Metals/Arsenic_resistance/Arsenic_resistance_protein/ARSH,0,6,0,8,0,2,0,6,2,15
MEG_3182/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,124,52,103,139,147,172,77,126,62,81
MEG_6542/Biocides/Peroxide_resistance/peroxide_resistance_protein/SODA,3,27,9,27,0,6,9,25,18,24
MEG_1280/Drugs/betalactams/Class_C_betalactamases/BLAEC,0,0,0,0,0,0,0,0,3,0
MEG_4360/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,5,10,0,0,0,8,0,0
MEG_4342/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,6,0,0,0,0,0,0
MEG_7837/Biocides/Multi_biocide_resistance/Multi_biocide_resistance_protein/YJCG,0,100,38,217,6,31,26,78,92,69
MEG_6514/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_ABC_efflux_pumps/SITB,4,28,0,20,0,0,6,7,22,10
MEG_6508/Metals/Multi_metal_resistance/Multi_metal_RND_efflux_regulator/SILR,0,5,0,0,0,0,0,0,0,0
MEG_4363/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,6,0,0,0,0,0,0
MEG_3209/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,54,32,50,60,46,86,54,58,81,40
MEG_890/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,3,0,0,0,0,0,0,0
MEG_5328/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,128,0,79,76,74,86,0
MEG_5/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,557,455,478,785,625,901,634,563,509,531
MEG_6718/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_2999/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,0,11,4,17,0,0,0,4,2,15
MEG_8213/Drugs/betalactams/Class_A_betalactamases/LEN,0,0,0,2,0,0,0,0,0,0
MEG_7066/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,2,6,6,5,8,23,14,10,26,6
MEG_7131/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,12,16,10,20,124,58,66,50,57,12
MEG_6050/Metals/Multi_metal_resistance/Multi_metal_resistance_regulator/RCNR,0,0,0,0,0,0,0,0,5,0
MEG_8232/Drugs/Multi_drug_resistance/Multi_drug_ABC_efflux_pumps/LPTD,0,35,18,120,0,22,30,51,21,46
MEG_990/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT6,0,0,0,14,0,0,0,0,0,0
MEG_1059/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH3_PRIME,0,0,0,0,0,0,0,0,10,0
MEG_2806/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,2,1,4,18,24,0,15,2,2
MEG_414/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/ACRR/RequiresSNPConfirmation,0,5,10,7,0,9,0,0,8,4
MEG_7218/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,2,0,18,4,2,14,0,5,4,6
MEG_1225/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/BEPE,0,0,0,0,0,0,0,0,48,0
MEG_2083/Metals/Copper_resistance/Copper_resistance_regulator/COPZ,0,0,0,0,0,0,0,0,14,0
MEG_5416/Metals/Copper_resistance/Copper_resistance_protein/PCOA,0,4,0,6,0,0,4,0,0,0
MEG_3994/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,1005,680,916,992,1072,1008,903,927,732,876
MEG_7104/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,33,25,79,97,78,133,91,59,50,77
MEG_6633/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULII,20,10,9,6,8,12,18,23,0,15
MEG_7855/Metals/Zinc_resistance/Zinc_resistance_protein/ZNUA,0,6,7,26,0,12,8,18,13,11
MEG_4203/Biocides/Paraquat_resistance/Paraquat_resistance_protein/NMPC,0,22,11,82,0,0,0,22,22,15
MEG_3068/Drugs/Fusidic_acid/Ribosomal_zinc_binding_protein/FUSC,0,0,0,0,0,0,0,0,10,0
MEG_1191/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_regulator/BAER,0,32,24,33,8,22,23,20,6,25
MEG_6104/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,0,0,0,83,0,0,0,73,0
MEG_2/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,3529,3294,4329,6164,3527,4519,4283,4008,4211,3922
MEG_6103/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,0,65,188,75,111,103,72,96,0
MEG_7229/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,35,20,75,47,46,81,16,53,37,33
MEG_5394/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PAREF/RequiresSNPConfirmation,63,46,120,162,100,85,111,90,130,77
MEG_6851/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_5341/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,90,0,55,115,0,96,0,0,0,48
MEG_2132/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CRP,104,152,186,291,98,124,146,132,110,112
MEG_2797/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,1,0,0,0,6,16,4,5,0,4
MEG_1189/Drugs/Bacitracin/Undecaprenyl_pyrophosphate_phosphatase/BACA,0,29,6,51,0,6,2,16,18,16
MEG_7110/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,14,18,22,22,21,41,35,23,16,18
MEG_1166/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/ARSDM,0,2,0,10,0,0,0,0,0,0
MEG_6943/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_7303/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,241,231,237,600,446,642,388,299,299,344
MEG_6906/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,8,0
MEG_1192/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_regulator/BAER,0,10,13,44,0,4,6,11,18,8
MEG_6173/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SDEB,0,0,0,61,0,31,0,0,20,0
MEG_7217/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,12,13,54,20,35,70,12,18,21,12
MEG_6136/Drugs/Multi_drug_resistance/MDR_mutation/MRPOB/RequiresSNPConfirmation,59,39,60,62,62,110,73,68,56,81
MEG_6714/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,2
MEG_7041/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,139,121,167,214,134,174,169,149,163,183
MEG_3136/Drugs/betalactams/Class_A_betalactamases/GIL,0,0,0,0,0,0,0,4,0,0
MEG_3757/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/MDTJ,0,3,1,4,0,0,7,0,9,5
MEG_6942/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,4,0,0,0,0,0,0
MEG_6956/Metals/Tellurium_resistance/Tellurium_resistance_protein/TERB,0,0,0,3,0,0,0,2,2,0
MEG_6102/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,52,40,0,56,49,71,58,52,62,0
MEG_6531/Biocides/Multi_biocide_resistance/Multi_biocide_MFS_efflux_pump/SMFY,0,0,0,0,0,5,0,0,0,0
MEG_4366/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,7,0,10,0,0,0,0,5,9
MEG_2116/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,0,40,12,70,2,32,12,26,14,16
MEG_6700/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,2,0,0,0,0,0,0,0
MEG_7267/Biocides/Multi_biocide_resistance/Multi_biocide_RND_efflux_pump/TOLC,0,14,0,34,0,10,0,13,10,0
MEG_2944/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,8,13,14,0,6,0,0,0,6
MEG_3888/Metals/Mercury_resistance/Mercury_resistance_regulator/MERR2,0,0,0,0,0,0,0,4,0,0
MEG_6865/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_7103/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,26,16,47,58,49,98,37,42,36,65
MEG_2733/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRK,0,0,0,0,0,0,0,0,9,0
MEG_4087/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_regulator/MTRR/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,9,0
MEG_8635/Drugs/Lipopeptides/Colistin_resistant_mutant/PMRAR/RequiresSNPConfirmation,0,0,0,0,0,0,0,7,0,0
MEG_1482/Drugs/betalactams/Class_C_betalactamases/BUT,0,0,0,2,0,0,0,0,0,0
MEG_6127/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,27,0,0,0,0,19,0,0,0,29
MEG_4008/Metals/Multi_metal_resistance/Multi_metal_ABC_efflux_pumps/MODC,0,4,0,10,0,9,0,0,7,14
MEG_7208/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,0,0,0,2,6,2,2,4,0
MEG_7137/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,7,3,11,11,27,25,9,12,21,12
MEG_6509/Metals/Multi_metal_resistance/Multi_metal_RND_efflux_regulator/SILS,0,24,18,52,0,4,7,8,6,10
MEG_7473/Drugs/Glycopeptides/VanC_type_regulator/VANRC,0,0,0,0,0,0,0,0,0,16
MEG_6934/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,1
MEG_2792/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,2,2,7,0,8,17,6,2,2,0
MEG_2772/Drugs/MLS/23S_rRNA_methyltransferases/ERM,0,0,0,0,0,0,40,0,0,20
MEG_2447/Metals/Multi_metal_resistance/Multi_metal_RND_efflux_pumps/CUSB,0,5,10,14,0,17,9,0,22,0
MEG_5819/Drugs/Fosfomycin/Fosfomycin_target_mutation/PTSL/RequiresSNPConfirmation,202,266,198,502,211,260,226,237,259,232
MEG_1179/Drugs/Multi_drug_resistance/Multi_drug_RND_efflux_regulator/ASMA,0,27,0,43,0,36,0,16,18,0
MEG_1180/Drugs/Multi_drug_resistance/Multi_drug_RND_efflux_regulator/ASMA,0,0,0,14,0,0,19,11,55,0
MEG_6047/Drugs/Rifampin/RNA_polymerase_binding_protein/RBPA,0,0,0,0,0,0,0,4,0,0
MEG_453/Drugs/betalactams/Class_C_betalactamases/ACT,0,10,0,3,0,0,0,2,0,0
MEG_5816/Metals/Arsenic_resistance/Arsenic_resistance_protein/PSTS,0,36,34,97,0,7,10,30,38,60
MEG_3751/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MDTE,0,0,0,0,0,0,6,0,18,6
MEG_3288/Biocides/Peroxide_resistance/Peroxide_resistance_stress_protein/IBPB,0,11,0,9,0,2,2,6,15,1
MEG_5390/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,0,0,26,23,0,0,17
MEG_6142/Drugs/Mycobacterium_tuberculosis_specific_Drug/Pyrazinamide_resistant_mutant/RPSA/RequiresSNPConfirmation,253,137,248,281,376,277,192,301,183,239
MEG_6836/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_5333/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,28,0,0,16,18,23,0
MEG_7220/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,0,2,0,0,0,0,0,0,0
MEG_2736/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRY,0,0,0,0,0,0,0,0,16,12
MEG_3227/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,15,0,6,0,0,22,13
MEG_6854/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,2,0,0,0,0
MEG_992/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT6,0,0,0,0,0,0,0,0,4,0
MEG_5391/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,22,0,11,15,0,21,0,0,0,0
MEG_7231/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,0,0,0,0,3,0,0,0,0
MEG_7834/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/YHCN,0,1,0,0,0,0,0,2,4,1
MEG_7116/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,26,7,26,31,27,33,28,20,17,18
MEG_2805/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,8,10,0,31,67,6,10,6,16
MEG_6140/Biocides/Multi_biocide_resistance/Multi_biocide_resistance_regulator/RPOS,0,0,0,6,0,4,4,0,4,0
MEG_10/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,295,138,257,353,315,408,329,319,296,271
MEG_6890/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_3754/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDTG,0,0,0,0,0,0,3,0,9,0
MEG_4347/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,8,0,14,0,0,0,0,0,0
MEG_8659/Drugs/Multi_drug_resistance/Multi_drug_RND_efflux_regulator/RAMR/RequiresSNPConfirmation,0,5,0,0,0,4,0,0,0,0
MEG_7024/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,0,2,0,0,0,0,0,4,0
MEG_7176/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,0,0,0,0,0,0,0,0,0,4
MEG_283/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC6_PRIME,0,0,14,0,0,0,12,0,0,0
MEG_3903/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXB,0,0,0,20,0,0,0,12,18,19
