gene_accession,COR03u_t2_M_ON,COR02e_t2_M_ON,COR01u_t2_M_ON,COR01e_t2_M_ON,COR05e_t2_M_ON,COR04e_t2_M_ON,COR03e_t2_M_ON,COR05u_t2_M_ON,COR04u_t2_M_ON,COR02u_t2_M_ON
MEG_4061/Drugs/Multi_drug_resistance/Multi_drug_ABC_efflux_pumps/MSBA,28,0,46,0,0,0,109,75,34,0
MEG_3803/Drugs/betalactams/Penicillin_binding_protein_regulator/MECI,0,0,0,0,0,4,0,6,10,0
MEG_7683/Drugs/Multi_drug_resistance/Multi_drug_ABC_efflux_pumps/VGA,0,54,0,0,0,52,0,44,44,0
MEG_7026/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,6,2,35,1,0,8,8,0,0,0
MEG_6607/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULI,0,0,0,2,0,0,2,0,0,0
MEG_7048/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,161,443,106,308,122,250,108,126,116,573
MEG_6723/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,1,0,0,0,0,0,0
MEG_7996/Drugs/betalactams/Class_B_betalactamases/BLAB,0,0,0,0,0,0,0,16,18,10
MEG_5342/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,0,34,26,0,0
MEG_6601/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULI,0,0,0,3,0,0,2,0,0,0
MEG_2996/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,0,0,0,0,0,0,0,18,0,0
MEG_3180/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,80,179,86,0,0,110,163,122,63,394
MEG_1682/Drugs/Multi_drug_resistance/MDR_23S_ribosomal_RNA_methyltransferase/CFRA,0,0,0,0,0,0,0,0,22,0
MEG_7057/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,31,74,13,37,0,10,20,4,23,26
MEG_7309/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,234,746,150,455,123,218,291,235,116,795
MEG_2112/Drugs/betalactams/Class_B_betalactamases/CPS,0,0,0,0,16,14,0,30,22,0
MEG_2830/Drugs/MLS/23S_rRNA_methyltransferases/ERMF,0,0,0,0,0,0,0,0,10,54
MEG_3902/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXB,0,8,0,0,0,0,0,0,0,0
MEG_6173/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SDEB,0,0,0,0,0,0,0,54,0,0
MEG_4179/Drugs/Metronidazole/nim_nitroimidazole_reductase/NIMA,0,0,0,0,0,0,0,0,16,0
MEG_6942/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,1,0,0,0,0,0,0
MEG_3843/Metals/Mercury_resistance/Mercury_resistance_protein/MERA,0,0,0,0,0,0,0,0,64,0
MEG_2440/Metals/Copper_resistance/Copper_resistance_protein/CUEO,18,0,0,0,0,0,76,16,0,0
MEG_1643/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/CEOA,0,0,0,0,0,0,0,0,0,26
MEG_6639/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULIII,0,0,0,0,40,78,0,52,66,0
MEG_5337/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,88,338,82,0,55,135,113,108,105,330
MEG_3627/Drugs/Lipopeptides/Colistin_resistant_mutant/LPXC/RequiresSNPConfirmation,0,0,0,0,34,0,0,0,0,86
MEG_2770/Drugs/MLS/23S_rRNA_methyltransferases/ERM,0,0,0,0,0,0,0,12,16,0
MEG_6973/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TET33,0,0,0,0,0,0,0,0,0,4
MEG_8093/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSM,0,0,0,0,10,0,0,0,14,0
MEG_3291/Biocides/Acetate_resistance/Acetate_resistance_protein/ICLR,0,0,0,0,0,0,16,4,0,0
MEG_5813/Metals/Arsenic_resistance/Arsenic_resistance_protein/PSTA,0,0,12,0,0,0,76,23,18,0
MEG_7483/Drugs/Glycopeptides/VanL_type_regulator/VANRL,0,0,0,0,0,0,0,0,32,0
MEG_1194/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_regulator/BAES,0,0,0,0,0,0,94,34,0,0
MEG_2687/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/DSBA,0,0,0,0,0,0,2,0,10,0
MEG_4002/Metals/Multi_metal_resistance/Multi_metal_ABC_efflux_pumps/MODA,0,0,0,0,0,0,16,0,0,0
MEG_2804/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,4,0,11,0,0,5,0,0,0
MEG_2887/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_regulator/FARR,0,0,0,0,0,0,0,8,0,0
MEG_5845/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACG,0,0,0,0,0,4,0,0,0,0
MEG_7256/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/TLRC,0,98,42,0,0,0,0,66,0,126
MEG_2736/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRY,0,0,0,0,0,0,0,0,26,0
MEG_7250/Drugs/Mycobacterium_tuberculosis_specific_Drug/Para_aminosalicylic_acid_resistant_mutant/THYA/RequiresSNPConfirmation,62,207,79,0,61,78,192,143,38,292
MEG_4781/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,0,16,0
MEG_2900/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_ABC_efflux_pumps/FETB,0,0,0,0,0,0,23,14,32,0
MEG_3420/Drugs/betalactams/Class_B_betalactamases/IND,0,0,0,0,0,0,0,16,0,0
MEG_1059/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH3_PRIME,0,0,0,0,0,0,0,0,18,50
MEG_7176/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,0,0,0,6,0,0,0,0,0,4
MEG_8461/Drugs/betalactams/Penicillin_binding_protein/PBP5/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,36,0
MEG_4832/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,12,12,0
MEG_5831/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACEDELTA1,0,0,0,3,0,0,0,0,0,3
MEG_6094/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,66,140,0,103,114,118,61,64,79,173
MEG_2728/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRD,0,0,0,0,0,0,0,0,18,0
MEG_3185/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,208,0,0,0,0,0,90,110,0
MEG_8740/Drugs/betalactams/Class_B_betalactamases/WUS,0,0,0,0,0,0,0,16,0,0
MEG_6875/Drugs/betalactams/Class_A_betalactamases/TEM,6,0,6,16,0,8,0,0,4,0
MEG_7220/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,7,19,0,22,8,11,13,11,0,27
MEG_3890/Metals/Mercury_resistance/Mercury_resistance_protein/MERT,0,0,0,0,0,0,0,0,40,0
MEG_3081/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/GADW,0,0,0,0,0,0,0,0,18,0
MEG_7105/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,260,823,159,707,163,212,542,360,153,698
MEG_6104/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,252,0,0,0,0,0,0,124,527
MEG_2580/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRI,0,0,0,0,0,0,0,28,42,0
MEG_277/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC6_PRIME,32,42,0,0,16,20,0,0,22,84
MEG_8241/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDE,0,0,0,0,0,42,0,0,52,0
MEG_3004/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSB,0,0,0,0,0,0,0,22,0,0
MEG_7147/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,12,38,0,0,20,0,0,15,14,29
MEG_6127/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,57,62,24,0,0,0,0,44,0,0
MEG_3183/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,29,0
MEG_2137/Drugs/betalactams/Class_A_betalactamases/CSP,0,86,0,0,0,0,0,60,28,116
MEG_6107/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,121,386,139,27,169,181,325,131,110,491
MEG_3221/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,0,0,59,0,0,54
MEG_3767/Drugs/betalactams/Penicillin_binding_protein/MECA,0,0,0,0,0,0,0,0,56,0
MEG_1316/Drugs/betalactams/Class_A_betalactamases/BLASME,0,0,0,0,0,0,0,0,10,0
MEG_4383/Drugs/Tetracyclines/Tetracycline_resistance_ABC_efflux_pumps/OTRC,0,138,0,0,56,0,124,0,0,310
MEG_1473/Drugs/betalactams/Class_A_betalactamases/BRO,0,0,0,0,0,0,0,0,22,0
MEG_2938/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,14,0
MEG_2090/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/CORC,0,58,16,0,18,34,34,24,8,0
MEG_2632/Drugs/Trimethoprim/Dihydrofolate_reductase/DHFR/RequiresSNPConfirmation,0,0,0,0,0,12,0,14,28,0
MEG_7331/Drugs/Glycopeptides/VanA_type_resistance_protein/VAN,0,0,0,0,0,0,0,4,0,0
MEG_5787/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/PITA,0,0,0,0,0,0,93,45,30,0
MEG_2988/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,0,0,0,0,0,0,5,0,0,0
MEG_7533/Drugs/Glycopeptides/VanL_type_resistance_protein/VANTML,0,0,0,0,0,44,0,90,126,0
MEG_6520/Biocides/Multi_biocide_resistance/Multi_biocide_ABC_efflux_pump/SMDB,0,46,0,0,0,0,60,20,22,0
MEG_2720/Biocides/Multi_biocide_resistance/Multi_biocide_MATE_efflux_pump/EMMDR,0,0,0,0,0,34,121,53,44,0
MEG_7525/Drugs/Glycopeptides/VanC_type_resistance_protein/VANTC,0,0,0,0,84,140,0,194,114,0
MEG_7080/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETG,0,61,30,0,0,0,0,0,0,102
MEG_3993/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,304,684,370,352,294,440,587,469,288,1027
MEG_1197/Drugs/Cationic_antimicrobial_peptides/Polymyxin_B_resistance_regulator/BASRS/RequiresSNPConfirmation,0,10,0,0,0,0,0,0,0,0
MEG_7058/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,24,140,16,44,6,18,17,6,25,28
MEG_4667/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,94,0,40,38,0
MEG_1924/Drugs/betalactams/Class_C_betalactamases/CMY,0,0,0,0,0,0,6,0,0,0
MEG_4513/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,0,8,0
MEG_7827/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/YFED,0,0,0,0,0,0,0,0,16,0
MEG_7154/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,0,14,6,13,2,4,12,0,0,26
MEG_7473/Drugs/Glycopeptides/VanC_type_regulator/VANRC,0,0,0,0,0,0,0,0,30,0
MEG_2795/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,3,2,2,6,0,1,3,4,0,0
MEG_4972/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,24,0,0,16,0
MEG_6884/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,0,0,0,0,0,0
MEG_6927/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,3,0,0,0,0,0,0
MEG_1560/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,0,0,0,0,0,0,0,0,10,0
MEG_1581/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,0,0,0,0,0,0,0,0,26,0
MEG_2529/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRA,0,0,0,2,0,0,0,0,0,0
MEG_1800/Drugs/betalactams/Class_C_betalactamases/CMY,0,0,0,0,0,0,9,0,0,0
MEG_2618/Drugs/Trimethoprim/Dihydrofolate_reductase/DHFR/RequiresSNPConfirmation,0,0,0,5,0,0,0,0,2,0
MEG_3912/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXF,14,0,0,0,0,0,0,0,0,0
MEG_6829/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,1,0,0,0,0,0,0
MEG_6092/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,12,27,0,0,0,0,0,0,0,61
MEG_3239/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRB/RequiresSNPConfirmation,0,0,0,0,0,0,0,90,0,0
MEG_3625/Drugs/Multi_drug_resistance/Multi_drug_RND_efflux_pumps/LPEB,0,0,0,0,0,0,0,104,76,0
MEG_22/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC3,0,0,0,0,0,6,0,0,0,0
MEG_7317/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,305,735,175,488,112,370,292,328,108,1000
MEG_791/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,3,0,0,0,0,0,0
MEG_6519/Biocides/Multi_biocide_resistance/Multi_biocide_ABC_efflux_pump/SMDA,0,0,0,0,0,0,101,22,0,68
MEG_6727/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,3,0,0,0,0,0,0
MEG_6750/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,1,0,0,0,0,0,0
MEG_2138/Drugs/betalactams/Class_A_betalactamases/CSP,0,0,0,0,0,0,0,50,32,0
MEG_2696/Drugs/betalactams/Class_B_betalactamases/EBR,0,0,0,0,0,0,0,0,12,0
MEG_338/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC6_PRIME,0,0,0,0,14,0,0,0,0,0
MEG_5120/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,2,0,0,0
MEG_5127/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,14,0,0,0
MEG_6511/Drugs/betalactams/Class_B_betalactamases/SIM,0,0,0,0,0,0,0,0,10,0
MEG_1632/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATP/RequiresSNPConfirmation,0,0,0,0,0,6,0,0,14,0
MEG_6614/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULI,0,0,0,5,0,0,0,0,0,0
MEG_1047/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH3_DPRIME,0,0,0,0,0,38,0,0,20,0
MEG_6134/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,42,12,0,0,0,0,0,0,67
MEG_2635/Drugs/Trimethoprim/Dihydrofolate_reductase/DHFR/RequiresSNPConfirmation,0,0,0,2,0,0,0,0,0,0
MEG_8153/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRB/RequiresSNPConfirmation,0,210,0,0,0,79,0,0,0,329
MEG_3746/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/MDTA,0,0,0,0,14,0,25,0,0,0
MEG_1145/Metals/Arsenic_resistance/Arsenic_resistance_protein/ARSB,0,0,0,0,0,0,56,0,0,0
MEG_8710/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,0,0,0,0,0,0
MEG_7092/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETL,38,36,42,29,29,20,0,6,111,9
MEG_3919/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXN,0,0,0,0,0,0,0,72,0,0
MEG_3277/Metals/Copper_resistance/Copper_resistance_protein/HPCOPP,0,0,0,0,0,2,0,0,0,0
MEG_8124/Drugs/betalactams/Class_B_betalactamases/GOB,0,0,0,0,0,0,0,0,34,0
MEG_370/Drugs/Fosfomycin/Fosfomycin_MFS_efflux_pump/ABAQ,0,0,0,0,0,0,0,0,32,0
MEG_1726/Drugs/Multi_drug_resistance/MDR_23S_ribosomal_RNA_methyltransferase/CLBA,0,0,0,0,0,0,0,0,28,0
MEG_1/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,1515,3013,1103,2171,1117,1429,1867,1946,1265,4213
MEG_1558/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CAT,0,0,0,0,0,10,0,0,18,0
MEG_6839/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,0
MEG_4175/Metals/Nickel_resistance/Nickel_ABC_efflux_regulator/NIKR,0,0,0,0,0,0,2,0,0,0
MEG_7125/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,113,232,75,335,69,67,199,110,57,278
MEG_4748/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,90,64,156
MEG_6788/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,1,0,0,0,0,0,0
MEG_7129/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,69,247,31,233,57,50,139,87,35,227
MEG_1186/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/AXY,0,0,10,0,0,0,0,0,0,0
MEG_8444/Drugs/Mycobacterium_tuberculosis_specific_Drug/Pyrazinamide_resistant_mutant/PAND/RequiresSNPConfirmation,0,0,0,0,0,0,0,12,0,0
MEG_3984/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,300,715,343,315,253,386,530,485,284,1035
MEG_6740/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,1,0,0,0,0,0,0
MEG_2841/Drugs/MLS/23S_rRNA_methyltransferases/ERMQ,0,0,0,0,0,24,0,50,92,0
MEG_1058/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH3_DPRIME,6,42,9,25,2,14,16,8,0,44
MEG_6098/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,105,371,75,140,55,133,177,149,82,333
MEG_7470/Drugs/Glycopeptides/VanC_type_regulator/VANRC,0,0,0,0,0,52,0,74,54,0
MEG_6141/Biocides/Multi_biocide_resistance/Multi_biocide_resistance_regulator/RPOS,0,0,0,0,0,0,59,18,11,0
MEG_497/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,0,8,0,0,0
MEG_704/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/ADES,0,0,0,0,0,0,0,30,94,0
MEG_4210/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/NORB,0,0,0,0,0,0,0,108,142,0
MEG_2019/Metals/Copper_resistance/Copper_resistance_protein/COPA,0,0,0,0,0,0,70,0,0,0
MEG_3911/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXF,38,0,0,0,0,0,0,0,0,0
MEG_7212/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,42,204,53,172,38,59,120,57,18,237
MEG_7268/Biocides/Multi_biocide_resistance/Multi_biocide_RND_efflux_pump/TOLCSM,0,6,0,0,0,0,0,0,0,0
MEG_6880/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,1,0,0,0,0,0,0
MEG_3182/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,111,218,106,0,80,149,303,202,83,499
MEG_6113/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,1641,5418,1135,2124,1692,2111,1916,1804,1121,5535
MEG_6893/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,1,0,0,0,0,0,0
MEG_7315/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,130,385,83,249,108,163,130,122,100,462
MEG_7017/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,0,38,0,0,0,0,0,0,0
MEG_2955/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,0,0,0,0,3,0,0,0
MEG_6626/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULII,37,49,16,108,19,29,26,14,12,102
MEG_5780/Drugs/Lipopeptides/Daptomycin_resistant_mutant/PGSA/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,6,0
MEG_1575/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,0,0,0,0,0,0,50,10,14,0
MEG_6535/Biocides/Multi_biocide_resistance/Multi_biocide_ABC_efflux_pump/SMRA,10,0,0,0,0,0,0,18,18,0
MEG_6587/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULI,0,3,0,7,0,0,0,0,0,0
MEG_7252/Drugs/betalactams/Class_A_betalactamases/TLA,0,0,0,0,0,20,0,0,14,0
MEG_4073/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MSRD,0,0,0,0,0,0,0,0,22,0
MEG_3278/Metals/Copper_resistance/Copper_resistance_protein/HPCOPP,16,44,0,0,14,14,0,4,0,50
MEG_6507/Metals/Multi_metal_resistance/Multi_metal_RND_efflux_pumps/SILP,0,26,0,0,0,0,0,0,0,0
MEG_3979/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,1086,3030,773,1483,671,868,1643,1477,650,3666
MEG_6610/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULI,0,0,0,6,0,0,0,0,0,0
MEG_2470/Metals/Multi_metal_resistance/Multi_metal_RND_efflux_pumps/CZCE,1,0,0,0,0,0,0,0,0,0
MEG_5814/Metals/Arsenic_resistance/Arsenic_resistance_protein/PSTB,0,88,29,0,28,14,89,51,26,0
MEG_1152/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/ARSBM,0,0,0,0,0,0,0,0,58,0
MEG_2708/Drugs/betalactams/Class_B_betalactamases/ELM,0,0,0,0,0,0,0,0,14,0
MEG_1590/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,0,0,0,0,0,0,0,0,0,21
MEG_4797/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,26,82,0
MEG_6873/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,0,0,0,0
MEG_3244/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/GYRBA/RequiresSNPConfirmation,0,313,0,0,56,112,157,142,78,357
MEG_5363/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,0,0,28,0,0
MEG_7688/Drugs/Multi_drug_resistance/Multi_drug_ABC_efflux_pumps/VGAB,0,0,0,0,0,0,0,0,86,0
MEG_2122/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,0,0,0,0,0,0,8,10,4,17
MEG_6621/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULII,43,45,21,130,24,22,32,20,11,145
MEG_8150/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRB/RequiresSNPConfirmation,0,0,0,0,0,0,49,44,0,104
MEG_6524/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SME,0,0,0,0,0,0,0,0,0,8
MEG_7157/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,0,5,0,6,0,0,0,0,0,4
MEG_6545/Biocides/Peroxide_resistance/peroxide_resistance_protein/SODB,0,20,0,0,0,14,20,0,0,0
MEG_6600/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULI,0,0,0,2,0,0,0,0,0,0
MEG_2022/Metals/Copper_resistance/Copper_resistance_protein/COPA,14,16,14,0,0,22,0,0,0,0
MEG_2692/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/DSBC,0,0,0,0,0,0,8,0,0,0
MEG_5273/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,34,28,26
MEG_2527/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRA,0,0,0,1,0,0,0,0,0,0
MEG_7823/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/YFEA,0,0,0,0,16,24,12,0,0,98
MEG_7392/Drugs/Glycopeptides/VanG_type_resistance_protein/VANG,0,0,0,0,0,18,0,18,26,0
MEG_4201/Drugs/betalactams/Class_A_betalactamases/NMCA,0,0,0,0,0,0,0,0,10,0
MEG_11/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,1525,3594,895,2088,937,1351,2154,1722,895,4288
MEG_4087/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_regulator/MTRR/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,8
MEG_1148/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/ARSBM,0,0,0,0,0,0,17,0,0,0
MEG_5801/Drugs/Cationic_antimicrobial_peptides/Lipid_A_modification/PMRF,0,0,0,0,0,0,0,29,0,0
MEG_4034/Drugs/MLS/Macrolide_phosphotransferases/MPHC,0,0,0,0,0,0,0,0,10,0
MEG_7224/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,48,169,50,166,48,66,82,87,20,245
MEG_1633/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATS,0,0,0,0,0,0,0,0,16,0
MEG_3750/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/MDTC,0,0,0,0,0,0,38,22,13,0
MEG_3889/Metals/Mercury_resistance/Mercury_resistance_regulator/MERR2,0,16,0,0,0,0,0,0,0,0
