gene_accession,CAC04u_t2_M_AB,CAC04e_t2_M_AB,CAC05u_t2_M_AB,CAC05e_t2_M_AB,CAC02u_t2_M_MB,CAC03u_t2_M_MB,CAC02e_t2_M_MB,CAC01u_t2_M_AB,CAC01e_t2_M_AB,CAC03e_t2_M_MB
MEG_3401/Drugs/betalactams/Class_B_betalactamases/IND,0,0,0,0,0,0,0,0,98,0
MEG_3178/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,31,0,0,0,10,13,15,0,0,0
MEG_6925/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,4,0,0,0,2
MEG_7257/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/TLRCM,0,0,0,91,220,0,0,0,340,0
MEG_12/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,439,399,291,288,481,306,341,380,652,369
MEG_8460/Drugs/betalactams/Penicillin_binding_protein/PBP4/RequiresSNPConfirmation,0,8,0,0,0,0,0,0,12,0
MEG_8232/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/LPTD,34,0,0,0,0,0,28,54,79,51
MEG_6106/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,608,312,343,391,528,340,524,2363,2827,471
MEG_1208/Drugs/betalactams/Class_A_betalactamases/BCL,0,42,0,0,0,0,0,0,0,0
MEG_4/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,5402,4057,3170,3758,5361,3380,3007,5054,8815,4627
MEG_7275/Biocides/Phenolic_compound_resistance/Phenolic_RND_efflux_pump/TRIC,0,0,0,0,0,0,0,65,0,0
MEG_7866/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/ZUPT,8,0,0,0,2,6,12,0,13,13
MEG_2940/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,0,42,78,0,0,0,92,50
MEG_3248/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/GYRBA/RequiresSNPConfirmation,30,30,0,0,0,0,32,18,90,0
MEG_1163/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSCM,1,0,0,0,0,0,0,0,0,0
MEG_3611/Drugs/MLS/Lincosamide_nucleotidyltransferases/LNUC,0,0,0,0,0,0,18,21,0,0
MEG_4105/Drugs/betalactams/Class_B_betalactamases/MYO,0,0,0,0,12,0,0,0,0,0
MEG_6174/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SDEX,0,6,0,4,0,0,5,0,26,0
MEG_2844/Drugs/MLS/23S_rRNA_methyltransferases/ERMR,0,0,0,0,0,18,9,20,76,11
MEG_1231/Metals/Copper_resistance/Copper_resistance_regulator/BHSA,21,0,0,0,0,6,0,10,0,0
MEG_6719/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,0
MEG_4335/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXA,0,0,0,0,0,0,0,0,0,14
MEG_3647/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/LSAC,0,0,116,0,162,144,122,160,0,134
MEG_6951/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_7246/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETY,0,2,10,6,6,18,0,0,0,19
MEG_5394/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PAREF/RequiresSNPConfirmation,270,145,119,96,219,134,157,110,167,100
MEG_2990/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,38,0,0,0,0,0,0,0,30,24
MEG_4364/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,0,0,0,8,0,0
MEG_3840/Metals/Mercury_resistance/Mercury_resistance_protein/MERA,0,0,2,0,0,0,0,0,0,0
MEG_5390/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,54,30,34,0,56,24,40,51,82,0
MEG_483/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,0,0,3,0,0
MEG_8093/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSM,0,0,12,0,0,0,0,0,0,0
MEG_2765/Drugs/MLS/23S_rRNA_methyltransferases/ERM,0,0,14,0,0,0,0,0,0,16
MEG_2952/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,31,0,0,82,38,0,45,0,48,116
MEG_2734/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_regulator/EMRR,16,12,2,0,5,6,20,5,6,26
MEG_7125/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,28,24,36,32,147,78,70,54,65,71
MEG_1281/Drugs/betalactams/Class_C_betalactamases/BLAEC,4,0,0,0,6,0,0,0,0,0
MEG_955/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,2,0,0,8,0,0,0,0,0,0
MEG_7819/Biocides/Multi-biocide_resistance/Multi-biocide_resistance_regulator/YDEO,26,0,0,0,13,0,4,0,0,0
MEG_3179/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,203,179,103,182,265,108,209,218,377,266
MEG_6082/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/ROBA,29,25,0,0,22,11,5,18,24,0
MEG_7180/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETQ,0,0,0,0,0,0,0,0,0,18
MEG_8645/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACC,0,0,0,0,0,0,0,0,0,84
MEG_2772/Drugs/MLS/23S_rRNA_methyltransferases/ERM,0,44,58,42,64,52,62,0,84,32
MEG_5333/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,35,0,0,0,0,22,17,32,36,20
MEG_7838/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_SMR_efflux_pump/YKKC,0,30,0,0,0,0,0,0,0,44
MEG_3661/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/MARA,8,0,0,6,6,0,0,0,4,0
MEG_1213/Drugs/Bacitracin/Bacitracin_ABC_transporter/BCRA,0,0,0,0,0,0,0,0,0,42
MEG_31/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC3,0,0,0,32,0,0,0,0,0,24
MEG_2138/Drugs/betalactams/Class_A_betalactamases/CSP,0,0,0,0,0,38,0,0,0,0
MEG_8090/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSL,10,0,0,0,0,0,0,0,0,10
MEG_2768/Drugs/MLS/23S_rRNA_methyltransferases/ERM,0,0,42,0,0,0,0,0,0,0
MEG_3081/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/GADW,8,0,0,0,0,0,5,0,0,0
MEG_6613/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,0,0,0,0,0,2,0,0,2
MEG_3981/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,2342,1914,2121,1008,3657,3871,911,2872,2763,3368
MEG_7235/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,0,8,0,24,16,18,0,4,24
MEG_7064/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,38,6,10,12,8,4,8,4,0,8
MEG_7498/Drugs/Glycopeptides/VanC-type_regulator/VANSC,0,74,0,0,134,0,76,0,0,72
MEG_8144/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,25,43,16,30,30,34,55,26,68,56
MEG_2080/Metals/Copper_resistance/Copper_resistance_regulator/COPY,0,0,0,16,0,0,0,0,0,0
MEG_7267/Biocides/Multi-biocide_resistance/Multi-biocide_RND_efflux_pump/TOLC,21,0,0,0,0,10,0,0,20,12
MEG_7826/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/YFED,0,0,0,0,0,38,0,0,0,0
MEG_5370/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,0,0,0,0,130,0,0
MEG_5312/Drugs/betalactams/Class_A_betalactamases/OXY,0,0,0,0,0,0,6,0,0,0
MEG_2702/Biocides/Acid_resistance/Acid_resistance_protein/EEFX,0,0,0,4,0,0,0,0,0,0
MEG_2787/Drugs/MLS/23S_rRNA_methyltransferases/ERMA,0,0,10,14,0,0,0,0,0,0
MEG_7060/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,0,15,7,0,5,22,26,8,0,36
MEG_6126/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,403,232,257,228,383,246,206,463,758,247
MEG_323/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,0,0,0,0,0,6
MEG_2996/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,0,0,0,10,0,0,0,0,0,16
MEG_8074/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/DHPS/RequiresSNPConfirmation,0,0,0,46,0,0,0,60,70,64
MEG_4094/Drugs/Fosfomycin/Fosfomycin_target_mutation/MURA/RequiresSNPConfirmation,57,48,54,40,0,0,0,70,0,38
MEG_8674/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB,1938,1548,854,998,2284,1109,1260,1835,3870,1283
MEG_4336/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,22,0,0,0,0,0,0,19,0,0
MEG_7231/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,4,0,0,14,6,0,0,4,6
MEG_2071/Metals/Copper_resistance/Copper_resistance_regulator/COPR,0,0,0,0,0,0,0,0,34,0
MEG_6634/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,56,27,17,33,117,46,43,2,21,41
MEG_7308/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,45,31,21,21,48,32,41,60,65,21
MEG_6588/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,0,0,0,0,0,4,0,0,0
MEG_5777/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/PGPA,0,0,0,1188,0,0,0,0,0,757
MEG_7048/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,173,157,176,109,178,156,189,120,183,257
MEG_6574/Drugs/betalactams/Class_B_betalactamases/STA,0,0,0,0,0,0,0,0,0,18
MEG_5779/Drugs/Lipopeptides/Daptomycin-resistant_mutant/PGSA/RequiresSNPConfirmation,0,0,0,0,0,0,0,40,0,0
MEG_3515/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/KPNF,1,0,0,1,2,0,4,0,10,5
MEG_3908/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXE,17,0,0,14,0,0,0,26,0,0
MEG_1732/Drugs/Lipopeptides/Daptomycin-resistant_mutant/CLS/RequiresSNPConfirmation,30,0,0,40,28,0,0,54,0,0
MEG_1047/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-DPRIME,0,22,0,0,0,16,0,28,86,0
MEG_2686/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/DSBA,0,0,0,0,0,0,2,0,0,0
MEG_6181/Drugs/betalactams/Class_B_betalactamases/SFB,0,0,0,0,0,0,0,0,0,36
MEG_7080/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETG,0,40,0,0,46,0,27,0,0,72
MEG_5783/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_ABC_efflux_regulator/PHOB/RequiresSNPConfirmation,14,0,0,0,0,0,6,15,20,18
MEG_3226/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,44,0,0,0,0,0,40,106,54
MEG_5371/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,196,150,124,110,172,106,116,173,237,152
MEG_7667/Drugs/betalactams/Class_A_betalactamases/VEB,0,0,0,0,4,0,22,0,0,14
MEG_4325/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXA,0,0,0,0,0,0,4,8,0,10
MEG_2842/Drugs/MLS/23S_rRNA_methyltransferases/ERMQ,24,0,0,32,46,0,0,0,0,0
MEG_1144/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSA,0,0,0,0,0,0,0,0,10,0
MEG_8660/Drugs/Aminoglycosides/Aminoglycoside_efflux_pumps/RANA,0,0,0,0,0,0,0,0,0,70
MEG_7833/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/YHCN,8,0,0,0,5,0,6,9,2,4
MEG_4331/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXA,10,0,0,0,0,0,0,14,16,6
MEG_7218/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,12,4,6,38,18,16,4,4,19
MEG_6047/Drugs/Rifampin/RNA-polymerase_binding_protein/RBPA,0,0,0,0,0,0,0,0,22,0
MEG_5350/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,34,0,0,0,0,28,0,22,0,0
MEG_4350/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,0,0,0,0,0,10
MEG_7010/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TET57,0,0,0,0,0,0,0,0,12,4
MEG_1299/Drugs/betalactams/Penicillin_binding_protein_regulator/BLAR,0,0,0,0,0,0,0,40,0,0
MEG_5345/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,47,0,0,0,0,0,0,0,32,0
MEG_6837/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_7312/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,2571,2249,1955,2021,2653,1797,2614,2117,3208,2862
MEG_7015/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,0,0,0,13,109,10,0,0,11
MEG_2726/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRBSM,0,0,0,0,0,0,0,0,0,34
MEG_7237/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,5,10,2,2,16,14,10,8,13,8
MEG_6102/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,181,94,113,98,249,109,119,122,247,141
MEG_2022/Metals/Copper_resistance/Copper_resistance_protein/COPA,0,0,0,0,0,0,22,0,46,0
MEG_3902/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXB,0,0,0,0,0,0,0,0,0,8
MEG_3231/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,270,241,144,153,317,143,172,218,506,0
MEG_7094/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETL,0,27,12,10,100,87,243,106,167,265
MEG_4060/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/MREA,0,0,0,0,0,0,0,96,114,0
MEG_2076/Metals/Copper_resistance/Copper_resistance_regulator/COPS,0,0,0,0,0,0,20,0,0,0
MEG_7812/Metals/Iron_resistance/Iron_resistance_protein/YBTQ,18,0,0,0,18,0,30,0,0,0
MEG_6618/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,44,20,0,8,73,19,28,2,6,25
MEG_7112/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,17,0,10,6,27,12,23,11,18,20
MEG_4289/Drugs/betalactams/Mutant_porin_proteins/OMPFB/RequiresSNPConfirmation,12,14,0,0,14,22,0,0,21,16
MEG_7148/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,22,16,34,26,122,47,48,50,64,82
MEG_2732/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRK,14,0,0,0,14,0,10,0,0,6
MEG_8676/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/RPSE/RequiresSNPConfirmation,12,0,0,0,0,0,0,6,0,0
MEG_2847/Drugs/MLS/23S_rRNA_methyltransferases/ERMT,0,26,0,22,26,0,20,20,46,16
MEG_4360/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,0,0,0,0,0,8
MEG_6842/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_2058/Metals/Copper_resistance/Copper_resistance_protein/COPG,0,0,0,0,0,0,1,0,0,2
MEG_193/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,0,0,0,0,0,16
MEG_3447/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/KDEA,21,0,0,0,0,0,23,10,33,57
MEG_5781/Drugs/Phenicol/Phenicol-resistant_23S_rRNA_mutation/PH23S/RequiresSNPConfirmation,8987,0,0,0,0,0,0,0,0,0
MEG_1176/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSRM,0,0,0,0,0,0,4,0,4,27
MEG_4345/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,0,0,10,0,0,16
MEG_1603/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,2
MEG_7103/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,63,34,60,22,224,126,136,59,157,140
MEG_7633/Drugs/MLS/Streptogramin_A_O-acetyltransferase/VATF,0,0,0,0,0,0,0,0,5,0
MEG_8741/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/YAJC,0,0,0,0,0,0,0,2,0,112
MEG_7311/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,119,0,59,46,91,55,43,58,132,46
MEG_3285/Metals/Nickel_resistance/Nickel_resistance_protein/HUPN,0,0,0,0,0,0,6,10,0,0
MEG_8089/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,4,0,0,0,0,0,0,0,0,0
MEG_4174/Metals/Nickel_resistance/Nickel_ABC_efflux_pumps/NIKE,14,0,0,0,10,0,11,0,0,0
MEG_8447/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,56,32,26,0,71,24,40,20,33,20
MEG_1174/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSRM,0,4,0,0,0,6,0,0,0,0
MEG_7175/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,0,0,0,0,0,0,0,0,6,0
MEG_4667/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,38,0,0,0,0,0
MEG_3273/Drugs/Multi-drug_resistance/Multi-drug_MFS_efflux_pumps/HP,0,34,0,0,26,44,0,0,0,0
MEG_8147/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,122,0,0,0,94,40,0,0,0,96
MEG_2649/Drugs/betalactams/Class_B_betalactamases/DIM,0,0,0,0,16,32,0,0,0,22
MEG_5965/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRB,0,2,0,0,0,0,0,0,0,0
MEG_7834/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/YHCN,4,0,0,0,0,0,2,4,2,4
MEG_1161/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSCM,3,0,0,0,0,0,1,0,0,7
MEG_1192/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_regulator/BAER,39,0,0,0,2,4,22,2,13,27
MEG_6662/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_2870/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_regulator/EVGS,50,0,0,0,20,0,22,0,0,109
MEG_2121/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,34,13,0,0,13,14,8,0,29,26
MEG_3610/Drugs/MLS/Lincosamide_nucleotidyltransferases/LNUC,2,0,0,0,6,0,0,10,0,0
MEG_1744/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/CMEE,106,90,0,46,114,82,86,72,72,0
MEG_3218/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,0,0,0,44,0,0
MEG_8262/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MSRL,0,0,0,0,60,0,0,70,0,0
MEG_1173/Metals/Arsenic_resistance/Arsenic_resistance_regulator/ARSR,7,0,0,0,3,6,4,0,0,0
MEG_8693/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SEPA,10,0,0,0,26,0,0,0,0,0
MEG_2882/Drugs/betalactams/Class_A_betalactamases/FAR1,0,0,0,0,0,0,0,0,28,0
MEG_8146/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,25,0,24,29,50,21
MEG_8152/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRB/RequiresSNPConfirmation,0,0,0,132,254,0,0,162,0,228
MEG_8148/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,178,98,44,0,163,47,69,35,138,74
MEG_7196/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_regulator/TETRM/RequiresSNPConfirmation,1479,1266,1180,1137,1566,1416,1527,938,1641,2000
MEG_7621/Drugs/MLS/Streptogramin_A_O-acetyltransferase/VATA,0,0,0,0,0,0,0,18,0,0
MEG_2/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,6746,6014,4947,4737,7256,4478,6603,5856,9680,7013
MEG_7109/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,39,10,34,28,123,86,80,45,114,80
MEG_3245/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/GYRBA/RequiresSNPConfirmation,438,376,319,287,566,373,368,423,666,436
MEG_3994/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,2327,2542,2119,1699,2741,2087,2143,2320,3372,2978
MEG_3948/Metals/Multi-metal_resistance/Multi-metal_resistance_regulator/MGTA,109,0,0,0,85,56,66,72,134,73
MEG_3693/Drugs/Lipopeptides/Colistin_phosphoethanolamine_transferase/MCR,0,0,0,0,0,0,0,0,0,42
MEG_5831/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACEDELTA1,0,0,0,0,0,0,1,0,0,0
MEG_2959/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,8,2,0,0,0,8,0,0,0,7
MEG_3249/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/GYRBA/RequiresSNPConfirmation,170,137,88,60,194,102,124,0,0,149
MEG_5337/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,175,131,116,101,161,126,109,76,136,110
MEG_3928/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/MEXR,0,0,0,0,0,0,0,0,0,8
MEG_408/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRE,21,0,0,0,8,22,6,0,0,46
MEG_7106/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,5,9,24,16,87,29,33,17,45,41
MEG_6508/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_regulator/SILR,0,0,0,0,0,0,0,0,0,7
MEG_5405/Drugs/betalactams/Penicillin_binding_protein/PBP2/RequiresSNPConfirmation,0,0,0,0,34,0,0,0,0,0
MEG_3079/Biocides/Acid_resistance/Acid_resistance_protein/GADC,89,0,0,0,34,22,0,0,34,12
MEG_6145/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/RRSA/RequiresSNPConfirmation,1841,1423,1154,1087,2074,1129,1146,2433,3789,1319
MEG_4283/Drugs/betalactams/Mutant_porin_proteins/OMP37,18,0,0,8,0,18,35,7,17,79
MEG_2786/Drugs/MLS/23S_rRNA_methyltransferases/ERMA,0,0,0,8,0,0,0,0,0,0
MEG_7142/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,32,29,32,22,120,104,81,56,82,75
MEG_5375/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,1256,794,836,711,941,713,888,715,1071,1016
MEG_7033/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,4,2,0,0,8,128,8,0,0,18
MEG_2824/Drugs/MLS/23S_rRNA_methyltransferases/ERMD,0,0,0,0,0,0,0,18,0,0
MEG_8689/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/SALC,192,112,130,0,134,0,156,192,154,152
MEG_2972/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,8,0,0,0,8,6,4,0,6,5
MEG_6872/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_1216/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/BCRCM,0,0,0,24,0,16,0,0,10,0
MEG_942/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,0,0,0,0,0,2
MEG_5395/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PAREF/RequiresSNPConfirmation,19,0,0,0,0,0,0,47,93,70
MEG_4010/Metals/Multi-metal_resistance/Multi-metal_ABC_efflux_pumps/MODC,55,0,0,0,47,31,12,12,46,40
MEG_8073/Drugs/Trimethoprim/Dihydrofolate_reductase/DHFR/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,40
