gene_accession,HBB06e_t2_M_BC,HBB06u_t2_M_BC,HBB07u_t2_M_BC,HBB07e_t2_M_BC,HBB10e_t2_M_BC,HBB08e_t2_M_BC,HBB09e_t2_M_BC,HBB08u_t2_M_BC,HBB09u_t2_M_BC,HBB10u_t2_M_BC
MEG_6912/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,2
MEG_7824/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/YFEB,22,58,32,0,60,72,42,49,59,120
MEG_1020/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-DPRIME,0,0,0,0,0,6,0,0,0,0
MEG_5374/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,28,24,28,64,22,0,23
MEG_1143/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSA,0,0,0,0,0,0,0,0,85,4
MEG_3842/Metals/Mercury_resistance/Mercury_resistance_protein/MERA,0,0,0,0,0,0,0,0,4,0
MEG_3755/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDTH,0,0,0,0,9,0,0,0,4,7
MEG_3985/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,179,136,197,166,188,260,135,199,296,250
MEG_6812/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,0,0,0,2,0
MEG_2941/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,0,0,0,0,0,44,0,0
MEG_6144/Drugs/Aminoglycosides/Aminoglycoside-resistant_30S_ribosomal_protein_S12/RPSL/RequiresSNPConfirmation,44,16,68,40,43,85,23,47,107,57
MEG_1/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,676,625,943,1278,1515,1187,841,1009,1423,1466
MEG_3219/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,154,74,42,0,62,139
MEG_6827/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,4,0
MEG_6095/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,0,57,0,73,0,0,0,0,0
MEG_7474/Drugs/Glycopeptides/VanC-type_regulator/VANRC,20,18,0,0,0,24,0,26,0,40
MEG_5391/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,23,26,0,52,24,19,59,32
MEG_2446/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/CUSA,0,0,10,0,55,0,0,0,35,44
MEG_4286/Drugs/Multi-drug_resistance/MDR_mutant_porin_proteins/OMPF/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,8,0
MEG_4008/Metals/Multi-metal_resistance/Multi-metal_ABC_efflux_pumps/MODC,0,0,2,0,6,8,0,0,0,0
MEG_6662/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_8447/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,28,0,28,0,25,32,26,31,31,48
MEG_889/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,0,0,0,0,2,0
MEG_2702/Biocides/Acid_resistance/Acid_resistance_protein/EEFX,0,0,0,0,0,0,0,0,0,3
MEG_1237/Drugs/betalactams/Class_A_betalactamases/BLA1,0,0,0,0,0,0,0,14,0,8
MEG_3208/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,182,191,306,211,271,251,140,165,235,381
MEG_1784/Drugs/Phenicol/Phenicol_resistance_MFS_efflux_pumps/CMX,0,0,0,4,0,0,0,0,0,0
MEG_3756/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/MDTI,0,0,0,0,7,0,0,0,0,5
MEG_6794/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,0,0,4,4
MEG_3241/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRB/RequiresSNPConfirmation,0,0,0,0,146,0,0,0,0,41
MEG_405/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/ACRD,0,0,8,0,16,0,0,0,0,0
MEG_6893/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,2,0,0,8,0
MEG_2875/Biocides/Phenolic_compound_resistance/Phenolic_resistance_protein/FABI,0,0,6,0,13,3,10,0,2,2
MEG_3738/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDFA,0,0,4,0,0,0,0,0,0,0
MEG_3749/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/MDTC,0,0,16,0,73,0,0,0,0,0
MEG_5381/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,0,23,0,30,0,4,30
MEG_2846/Drugs/MLS/23S_rRNA_methyltransferases/ERMT,155,105,322,404,231,301,101,130,258,453
MEG_5323/Drugs/Pleuromutilin/Pleuromutilin-resistant_23S_rRNA_mutation/P23S/RequiresSNPConfirmation,0,85,52,0,0,37,0,36,73,0
MEG_7116/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,23,44,24,96,86,82,40,56,154,139
MEG_3408/Drugs/betalactams/Class_B_betalactamases/IND,0,8,0,0,0,0,0,0,0,0
MEG_7039/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,69,79,182,96,149,97,85,106,124,211
MEG_7059/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,14,9,4,9,34,0,77,7,31,6
MEG_2806/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,57,32,38,105,118,80,46,147,201,114
MEG_8253/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,396,514,261,277,345,334,393,406,460,591
MEG_763/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,1,0,0,0,0,0,0
MEG_5362/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,18,0,20,32,0,0,0,0,0
MEG_6789/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_1144/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSA,0,0,0,0,0,0,0,0,0,2
MEG_2848/Drugs/MLS/23S_rRNA_methyltransferases/ERMT,70,62,220,286,116,184,71,103,151,231
MEG_8261/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MSRH,0,0,0,0,60,0,0,0,0,110
MEG_5337/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,59,97,98,58,117,94,67,79,73,155
MEG_7041/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,169,211,314,162,277,170,82,144,257,306
MEG_2088/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORB,0,12,0,12,14,0,0,0,30,16
MEG_7596/Drugs/Glycopeptides/VanA-type_accessory_protein/VANYA,0,0,0,0,13,0,0,0,0,0
MEG_6957/Metals/Tellurium_resistance/Tellurium_resistance_protein/TERC,0,0,0,0,0,0,0,0,12,26
MEG_6674/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_3203/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,218,317,484,296,362,313,264,267,355,579
MEG_7131/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,26,21,31,96,139,61,31,85,150,89
MEG_4198/Metals/Nickel_resistance/Nickel_resistance_protein/NIRD,0,0,0,0,0,0,0,0,2,0
MEG_7307/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,210,311,298,265,291,312,288,344,432,615
MEG_6759/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,2,4,0
MEG_4026/Drugs/MLS/Macrolide_phosphotransferases/MPH,0,0,0,0,52,0,0,0,0,0
MEG_6590/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,0,0,0,2,0,0,0,0,0
MEG_7865/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/ZUPT,0,0,8,0,0,0,0,0,0,0
MEG_8450/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,16,41,32,0,27,40,0
MEG_6047/Drugs/Rifampin/RNA-polymerase_binding_protein/RBPA,0,0,0,0,0,0,0,6,0,0
MEG_4171/Metals/Nickel_resistance/Nickel_ABC_efflux_pumps/NIKD,0,0,0,0,1,0,0,0,4,2
MEG_6863/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,4,0,0,8,16
MEG_6889/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,2,0
MEG_6927/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,4,2,0,7,0
MEG_7257/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/TLRCM,0,0,0,0,0,0,54,0,0,0
MEG_6936/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,4,0
MEG_3233/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,0,39,0,0,0,0
MEG_7163/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,6,6,4,14,2,10,2,0,10,14
MEG_1176/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSRM,0,0,0,0,0,0,0,0,6,0
MEG_3762/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDTM,0,0,0,0,2,0,0,0,0,0
MEG_277/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,38,0,0,0,0,0,0,0,0
MEG_4366/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,0,0,0,0,4,0
MEG_386/Drugs/betalactams/Class_C_betalactamases/ACC,0,0,0,0,0,4,0,0,0,0
MEG_6624/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,32,14,24,11,31,42,19,35,17,102
MEG_6510/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_regulator/SILS,0,0,0,0,0,0,0,0,14,14
MEG_1599/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,0,0,0,0,2,0,0,0,0
MEG_7085/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETH,34,24,22,11,37,47,0,40,12,76
MEG_1177/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSRM,0,0,0,0,0,0,0,18,0,0
MEG_2500/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRA,0,0,0,0,0,2,0,0,0,0
MEG_2654/Metals/Copper_resistance/Copper_resistance_protein/DNAK,79,70,104,83,33,114,53,112,145,127
MEG_7822/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/YFEA,15,34,12,22,24,14,0,38,38,30
MEG_7311/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,15,16,23,24,20,40,0,0,28,18
MEG_6734/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_4164/Metals/Sodium_resistance/Sodium_resistance_protein/NHAB,0,0,6,0,4,0,0,0,0,10
MEG_6706/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,0
MEG_1485/Metals/Multi-metal_resistance/Multi-metal_resistance_regulator/CADC,32,40,40,36,48,36,0,0,0,22
MEG_6867/Drugs/betalactams/Class_A_betalactamases/TEM,13,0,0,0,0,55,45,0,123,43
MEG_890/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,0,0,0,0,1,0
MEG_3189/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,30,34,26,23,0,56,65
MEG_6172/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SDEA,0,0,0,0,0,0,66,0,0,56
MEG_3200/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,182,132,175,268,970,847,427,478,799,491
MEG_7221/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,5,0,0,2,0,3,0,0,0,0
MEG_5328/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,96,0,0,176,0,0,91,124,204
MEG_7177/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,0,2,2,0,0,6,0,6,2,0
MEG_2766/Drugs/MLS/23S_rRNA_methyltransferases/ERM,0,0,0,0,0,0,0,0,0,40
MEG_7553/Drugs/Glycopeptides/VanA-type_resistance_protein/VANXA,0,0,0,0,6,0,0,0,0,0
MEG_3902/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXB,0,0,0,0,0,6,0,0,0,0
MEG_6846/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,0,0,0,0
MEG_6141/Biocides/Multi-biocide_resistance/Multi-biocide_resistance_regulator/RPOS,0,0,2,8,18,18,12,26,30,26
MEG_989/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT6,39,12,20,38,19,0,20,16,12,33
MEG_2440/Metals/Copper_resistance/Copper_resistance_protein/CUEO,0,0,15,11,45,0,36,0,0,15
MEG_2017/Metals/Copper_resistance/Copper_resistance_regulator/COMR,0,0,4,0,0,0,0,0,0,3
MEG_408/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRE,0,0,2,0,0,0,0,0,0,16
MEG_4976/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,14,0,0,0,0
MEG_6132/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,158,110,128,245,158,171,126,153,213,244
MEG_5378/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,110,0,0,0,0,0,0,0,0,0
MEG_7834/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/YHCN,0,0,0,0,0,0,0,0,2,2
MEG_6763/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,0
MEG_7883/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRB/RequiresSNPConfirmation,0,0,0,0,36,12,69,0,11,28
MEG_7083/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETH,21,31,32,10,48,53,15,76,31,87
MEG_7821/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/YFEA,0,28,20,26,16,15,0,27,21,26
MEG_1614/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,0,0,0,0,2,0,0,0,0
MEG_2122/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,0,0,0,0,4,2,0,2,0,4
MEG_5368/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,96,0,0,129,81,84,94,173,171
MEG_2680/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/DSBA,0,0,0,0,2,0,0,0,0,0
MEG_6116/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,0,0,0,106,0,0,0,0,0
MEG_5343/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,184,109,342,560,390,235,267,277,471
MEG_8035/Drugs/Lipopeptides/Colistin_phosphoethanolamine_transferase/CPRR,0,0,0,0,0,0,0,16,0,0
MEG_6111/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,50,71,73,103,204,161,93,125,178,165
MEG_6831/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,0,0,4,0
MEG_2083/Metals/Copper_resistance/Copper_resistance_regulator/COPZ,6,0,0,0,6,0,0,0,0,0
MEG_3901/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXB,0,0,0,0,0,0,0,0,14,0
MEG_2998/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,0,0,0,0,0,0,0,0,9,0
MEG_2087/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORA,0,0,0,2,14,0,12,0,2,2
MEG_1145/Metals/Arsenic_resistance/Arsenic_resistance_protein/ARSB,0,0,0,18,0,0,0,0,9,0
MEG_1612/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,0,0,0,0,2,0,0,0,0
MEG_790/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,0,1,0,0,0,0
MEG_6089/Drugs/Rifampin/Rifampin_phosphotransferase/RPH,24,0,0,0,66,0,0,60,18,73
MEG_4283/Drugs/betalactams/Mutant_porin_proteins/OMP37,0,0,0,0,0,0,0,0,0,8
MEG_5390/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,18,0,0,0,34,30,24,81,43
MEG_5395/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PAREF/RequiresSNPConfirmation,0,0,0,0,51,34,0,26,27,19
MEG_7068/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETD,8,10,0,3,0,0,0,0,23,11
MEG_3591/Drugs/Lipopeptides/Daptomycin-resistant_mutant/LIAFSR/RequiresSNPConfirmation,0,0,0,0,32,0,0,0,0,0
MEG_4203/Biocides/Paraquat_resistance/Paraquat_resistance_protein/NMPC,0,0,0,0,5,0,0,0,0,0
MEG_174/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,0,0,16,0,0,0
MEG_7051/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,143,168,213,139,211,128,66,139,162,282
MEG_3220/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,0,0,40,0,14,0
MEG_2720/Biocides/Multi-biocide_resistance/Multi-biocide_MATE_efflux_pump/EMMDR,0,0,0,16,0,20,0,0,22,0
MEG_6825/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,4,4
MEG_728/Drugs/betalactams/Class_C_betalactamases/AMPC,0,0,0,0,2,0,0,0,0,0
MEG_6541/Biocides/Peroxide_resistance/peroxide_resistance_protein/SODA,0,0,0,0,0,0,0,0,16,0
MEG_2441/Metals/Copper_resistance/Copper_resistance_protein/CUEP,0,0,0,0,0,0,0,0,0,2
MEG_5815/Metals/Arsenic_resistance/Arsenic_resistance_protein/PSTC,4,0,15,0,25,0,22,20,23,40
MEG_4290/Drugs/betalactams/Mutant_porin_proteins/OMPR,0,0,0,0,0,0,19,0,0,0
MEG_6937/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,0,0,0,0
MEG_1175/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSRM,0,0,0,0,8,0,0,0,0,0
MEG_705/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ADET1,0,0,0,0,0,0,18,0,0,0
MEG_1574/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,16,1,16,8,12,0,28,5,7,0
MEG_3990/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,598,442,735,923,618,879,746,779,1042,1064
MEG_3252/Biocides/Multi-biocide_resistance/Multi-biocide_RND_efflux_pump/HASF,0,0,0,0,0,0,0,46,0,0
MEG_31/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC3,0,0,0,0,0,0,0,32,0,0
MEG_5330/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,162,0,104,0,118
MEG_5782/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_ABC_efflux_regulator/PHOB/RequiresSNPConfirmation,2,0,0,0,5,0,8,0,3,4
MEG_6909/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,8,4,0,32,22
MEG_3977/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,11594,14915,22227,11585,18774,16632,12519,16790,20243,24875
MEG_6845/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_5425/Metals/Copper_resistance/Copper_resistance_regulator/PCOS,0,0,0,0,0,0,0,0,0,6
MEG_384/Drugs/betalactams/Class_C_betalactamases/ACC,0,0,0,0,0,0,0,0,0,5
MEG_6806/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_2/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,3717,4189,7065,4421,7301,5931,4269,6494,8418,8529
MEG_3752/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MDTF,0,0,16,0,29,0,0,0,0,42
MEG_7266/Biocides/Multi-biocide_resistance/Multi-biocide_RND_efflux_pump/TOLC,0,0,0,0,7,0,0,0,0,11
MEG_7606/Drugs/Glycopeptides/VanF-type_accessory_protein/VANYF,7,0,15,0,23,0,14,22,0,28
MEG_738/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT2-DPRIME,0,0,0,0,0,2,0,0,0,0
MEG_3186/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,32,0
MEG_972/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,0,2,0,0,0,0
MEG_3188/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,29,63,51,39,72,52,32,52,77,75
MEG_2925/Drugs/Phenicol/Phenicol_resistance_MFS_efflux_pumps/FLOR,0,0,0,0,0,0,0,0,0,1
MEG_6634/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,18,12,27,22,27,52,22,29,25,94
MEG_3288/Biocides/Peroxide_resistance/Peroxide_resistance_stress_protein/IBPB,0,0,1,0,7,9,11,0,0,2
MEG_3083/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/GADX,0,0,6,0,14,0,0,0,0,0
MEG_6138/Drugs/Glycopeptides/Vancomycin-resistant_mutation/RPOC/RequiresSNPConfirmation,199,317,357,516,744,716,313,604,1079,719
MEG_3750/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/MDTC,0,0,0,0,44,0,86,0,29,18
MEG_6810/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,4
MEG_3249/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/GYRBA/RequiresSNPConfirmation,0,0,48,42,0,45,0,78,134,0
MEG_8649/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACH,0,0,0,0,0,20,4,0,6,6
MEG_7236/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,0,14,8,0,11,2,2,2,2
MEG_6755/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_6743/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,4,0,0,8,2
MEG_6942/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_4326/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXA,0,0,0,0,0,0,0,0,4,0
MEG_6622/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,30,19,17,10,38,55,16,22,9,100
MEG_2722/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRA,0,0,3,0,13,0,0,0,0,0
MEG_7409/Drugs/Glycopeptides/VanA-type_resistance_protein/VANHA,0,0,0,0,20,0,0,0,0,0
MEG_7137/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,18,16,17,60,40,44,17,52,66,48
MEG_411/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/ACRR/RequiresSNPConfirmation,0,0,10,0,6,0,0,0,0,11
MEG_1209/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/BCR,0,0,4,0,6,0,0,2,0,2
MEG_6163/Drugs/Nucleosides/Streptothricin_acetyltransferase/SAT,0,0,0,0,0,0,0,0,8,0
MEG_4012/Metals/Multi-metal_resistance/Multi-metal_ABC_efflux_pumps/MODC,0,0,6,0,11,0,0,0,0,5
MEG_7167/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,4,0,0,0,0,0,2,0,2,2
MEG_4220/Metals/Nickel_resistance/Nickel_resistance_regulator/NRSR,0,0,0,0,12,0,0,0,0,0
MEG_3222/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,0,33,0,0,0,0
MEG_7218/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,6,0,4,6,2,6,0,4,4,2
MEG_7304/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,0,29,19,23,0,34,0,0,62,0
MEG_1147/Metals/Arsenic_resistance/Arsenic_resistance_protein/ARSB,22,0,0,0,0,0,0,0,0,0
MEG_3071/Drugs/Fusidic_acid/Fusidic_acid-resistant_mutation/FUSE/RequiresSNPConfirmation,36,7,8,26,85,106,62,78,83,61
MEG_6745/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_3253/Biocides/Acid_resistance/Acid_resistance_protein/HDEA,0,0,3,0,8,0,0,0,0,0
MEG_6663/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,4,0
MEG_8093/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSM,0,10,0,0,0,0,0,0,0,0
